Kуd ADM;Kуd obce;Nбzev obce;Nбzev MOMC;Nбzev MOP;Kуd ибsti obce;Nбzev ибsti obce;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
24128341;583537;Ochoz u Brna;;;109436;Ochoz u Brna;;и.p.;1;;;66402;587832.66;1155126.42;2013-11-29T00:00:00
24128350;583537;Ochoz u Brna;;;109436;Ochoz u Brna;;и.p.;2;;;66402;587864.38;1155160.87;2013-11-29T00:00:00
24128368;583537;Ochoz u Brna;;;109436;Ochoz u Brna;;и.p.;3;;;66402;587874.04;1155160.63;2013-11-29T00:00:00
24128376;583537;Ochoz u Brna;;;109436;Ochoz u Brna;;и.p.;4;;;66402;587886.68;1155159.88;2013-11-29T00:00:00
24128384;583537;Ochoz u Brna;;;109436;Ochoz u Brna;;и.p.;5;;;66402;587905.37;1155157.68;2013-11-29T00:00:00
24128406;583537;Ochoz u Brna;;;109436;Ochoz u Brna;;и.p.;7;;;66402;587941.00;1155155.20;2013-11-29T00:00:00
24128414;583537;Ochoz u Brna;;;109436;Ochoz u Brna;;и.p.;8;;;66402;587956.47;1155137.01;2013-11-29T00:00:00
24128422;583537;Ochoz u Brna;;;109436;Ochoz u Brna;;и.p.;9;;;66402;587967.00;1155157.00;2013-11-29T00:00:00
24128431;583537;Ochoz u Brna;;;109436;Ochoz u Brna;;и.p.;10;;;66402;587994.23;1155152.71;2013-11-29T00:00:00
24128449;583537;Ochoz u Brna;;;109436;Ochoz u Brna;;и.p.;11;;;66402;588015.57;1155152.00;2013-11-29T00:00:00
24128457;583537;Ochoz u Brna;;;109436;Ochoz u Brna;;и.p.;12;;;66402;588038.22;1155151.21;2013-11-29T00:00:00
24128465;583537;Ochoz u Brna;;;109436;Ochoz u Brna;;и.p.;13;;;66402;588077.80;1155152.40;2013-11-29T00:00:00
24128473;583537;Ochoz u Brna;;;109436;Ochoz u Brna;;и.p.;14;;;66402;588102.47;1155194.16;2013-11-29T00:00:00
24128481;583537;Ochoz u Brna;;;109436;Ochoz u Brna;;и.p.;15;;;66402;588116.74;1155202.89;2013-11-29T00:00:00
24128490;583537;Ochoz u Brna;;;109436;Ochoz u Brna;;и.p.;16;;;66402;588127.49;1155208.26;2013-11-29T00:00:00
