KÛd ADM;KÛd obce;N·zev obce;N·zev MOMC;N·zev MOP;KÛd Ë·sti obce;N·zev Ë·sti obce;N·zev ulice;Typ SO;»Ìslo domovnÌ;»Ìslo orientaËnÌ;Znak ËÌsla orientaËnÌho;PS»;Sou¯adnice Y;Sou¯adnice X;PlatÌ Od
6015069;533017;Unhoöù;;;174491;Unhoöù;HavlÌËkova;Ë.p.;387;;;27351;763843.80;1040414.02;2013-12-05T00:00:00
6015077;533017;Unhoöù;;;174491;Unhoöù;HavlÌËkova;Ë.p.;388;;;27351;763845.64;1040436.35;2013-12-05T00:00:00
6015085;533017;Unhoöù;;;174491;Unhoöù;HavlÌËkova;Ë.p.;389;;;27351;763846.43;1040454.59;2013-12-05T00:00:00
6015093;533017;Unhoöù;;;174491;Unhoöù;HavlÌËkova;Ë.p.;390;;;27351;763847.49;1040476.40;2013-12-05T00:00:00
6015107;533017;Unhoöù;;;174491;Unhoöù;Koll·rova;Ë.p.;391;;;27351;763874.78;1040474.42;2013-12-05T00:00:00
6015115;533017;Unhoöù;;;174491;Unhoöù;Koll·rova;Ë.p.;392;;;27351;763885.99;1040473.47;2013-12-05T00:00:00
6015123;533017;Unhoöù;;;174491;Unhoöù;Koll·rova;Ë.p.;393;;;27351;763907.74;1040472.30;2013-12-05T00:00:00
6015131;533017;Unhoöù;;;174491;Unhoöù;Koll·rova;Ë.p.;394;;;27351;763914.73;1040471.11;2013-12-05T00:00:00
6015140;533017;Unhoöù;;;174491;Unhoöù;Koll·rova;Ë.p.;395;;;27351;763936.00;1040473.36;2013-12-05T00:00:00
6015158;533017;Unhoöù;;;174491;Unhoöù;Koll·rova;Ë.p.;396;;;27351;763981.46;1040467.68;2013-12-05T00:00:00
6015166;533017;Unhoöù;;;174491;Unhoöù;Koll·rova;Ë.p.;397;;;27351;763970.23;1040467.28;2013-12-05T00:00:00
6015174;533017;Unhoöù;;;174491;Unhoöù;Koll·rova;Ë.p.;398;;;27351;763947.82;1040470.06;2013-12-05T00:00:00
6015182;533017;Unhoöù;;;174491;Unhoöù;RaöÌnova;Ë.p.;399;;;27351;763967.59;1040438.87;2013-12-05T00:00:00
6015191;533017;Unhoöù;;;174491;Unhoöù;RaöÌnova;Ë.p.;400;;;27351;763966.54;1040408.60;2013-12-05T00:00:00
6015204;533017;Unhoöù;;;174491;Unhoöù;RaöÌnova;Ë.p.;401;;;27351;763967.72;1040392.35;2013-12-05T00:00:00
6015212;533017;Unhoöù;;;174491;Unhoöù;RaöÌnova;Ë.p.;402;;;27351;763965.61;1040366.44;2013-12-05T00:00:00
6015221;533017;Unhoöù;;;174491;Unhoöù;K¯ivokl·tsk·;Ë.p.;403;;;27351;763935.95;1040325.07;2013-12-05T00:00:00
6015239;533017;Unhoöù;;;174491;Unhoöù;K¯ivokl·tsk·;Ë.p.;404;;;27351;763916.44;1040323.36;2013-12-05T00:00:00
6015247;533017;Unhoöù;;;174491;Unhoöù;K¯ivokl·tsk·;Ë.p.;405;;;27351;763900.22;1040323.89;2013-12-05T00:00:00
6015255;533017;Unhoöù;;;174491;Unhoöù;K¯ivokl·tsk·;Ë.p.;406;;;27351;763882.82;1040323.09;2013-12-05T00:00:00
6015263;533017;Unhoöù;;;174491;Unhoöù;K¯ivokl·tsk·;Ë.p.;407;;;27351;763864.63;1040322.70;2013-12-05T00:00:00
6015271;533017;Unhoöù;;;174491;Unhoöù;HavlÌËkova;Ë.p.;408;;;27351;763870.69;1040364.33;2013-12-05T00:00:00
6015280;533017;Unhoöù;;;174491;Unhoöù;HavlÌËkova;Ë.p.;409;;;27351;763868.85;1040384.94;2013-12-05T00:00:00
6015298;533017;Unhoöù;;;174491;Unhoöù;HavlÌËkova;Ë.p.;410;;;27351;763868.85;1040395.38;2013-12-05T00:00:00
6015301;533017;Unhoöù;;;174491;Unhoöù;HavlÌËkova;Ë.p.;411;;;27351;763871.09;1040416.00;2013-12-05T00:00:00
