Kód ADM;Kód obce;Název obce;Název MOMC;Název MOP;Kód èásti obce;Název èásti obce;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
20202661;567728;Moldava;;;98302;Moldava;;è.p.;1;;;41781;787357.00;965622.00;2013-12-04T00:00:00
20202679;567728;Moldava;;;98302;Moldava;;è.p.;2;;;41781;787364.00;965652.00;2013-12-04T00:00:00
20202687;567728;Moldava;;;98302;Moldava;;è.p.;4;;;41781;787216.00;965573.00;2013-12-04T00:00:00
20202695;567728;Moldava;;;98302;Moldava;;è.p.;5;;;41781;787149.00;965578.00;2013-12-04T00:00:00
20202709;567728;Moldava;;;98302;Moldava;;è.p.;6;;;41781;785218.00;965938.00;2013-12-04T00:00:00
20202717;567728;Moldava;;;98302;Moldava;;è.p.;9;;;41781;786855.00;965637.00;2013-12-04T00:00:00
20202725;567728;Moldava;;;98302;Moldava;;è.p.;11;;;41781;786721.00;965716.00;2013-12-04T00:00:00
20202733;567728;Moldava;;;98302;Moldava;;è.p.;13;;;41781;786552.00;965958.00;2013-12-04T00:00:00
20202750;567728;Moldava;;;98302;Moldava;;è.p.;15;;;41781;786531.00;966068.00;2013-12-04T00:00:00
20202768;567728;Moldava;;;98302;Moldava;;è.p.;17;;;41781;786514.00;966138.00;2013-12-04T00:00:00
20202776;567728;Moldava;;;98302;Moldava;;è.p.;19;;;41781;785819.00;966469.00;2013-12-04T00:00:00
20202784;567728;Moldava;;;98302;Moldava;;è.p.;20;;;41781;785744.00;966338.00;2013-12-04T00:00:00
20202792;567728;Moldava;;;98302;Moldava;;è.p.;21;;;41781;785541.81;966287.44;2013-12-04T00:00:00
20202806;567728;Moldava;;;98302;Moldava;;è.p.;22;;;41781;785573.00;966177.00;2013-12-04T00:00:00
20202814;567728;Moldava;;;98302;Moldava;;è.p.;23;;;41781;786433.00;965770.00;2013-12-04T00:00:00
20202849;567728;Moldava;;;98302;Moldava;;è.p.;29;;;41781;786632.00;965972.00;2013-12-04T00:00:00
20202857;567728;Moldava;;;98302;Moldava;;è.p.;30;;;41781;784520.00;966080.00;2013-12-04T00:00:00
20202865;567728;Moldava;;;98302;Moldava;;è.p.;33;;;41781;784895.00;965767.00;2013-12-04T00:00:00
20202903;567728;Moldava;;;98302;Moldava;;è.p.;38;;;41781;786230.00;965811.00;2013-12-04T00:00:00
20202911;567728;Moldava;;;98302;Moldava;;è.p.;41;;;41781;786778.00;965455.25;2013-12-04T00:00:00
20202920;567728;Moldava;;;98302;Moldava;;è.p.;55;;;41781;786681.00;966018.00;2013-12-04T00:00:00
20202954;567728;Moldava;;;98302;Moldava;;è.p.;70;;;41781;786307.00;966386.00;2013-12-04T00:00:00
20202971;567728;Moldava;;;98302;Moldava;;è.p.;79;;;41781;786639.00;965641.00;2013-12-04T00:00:00
20202989;567728;Moldava;;;98302;Moldava;;è.p.;87;;;41781;786622.00;965567.00;2013-12-04T00:00:00
20202997;567728;Moldava;;;98302;Moldava;;è.p.;89;;;41781;786697.00;965639.00;2013-12-04T00:00:00
20203004;567728;Moldava;;;98302;Moldava;;è.p.;90;;;41781;786612.00;965616.00;2013-12-04T00:00:00
20203012;567728;Moldava;;;98302;Moldava;;è.p.;92;;;41781;786738.00;965646.00;2013-12-04T00:00:00
20203021;567728;Moldava;;;98302;Moldava;;è.p.;93;;;41781;786683.00;966065.00;2013-12-04T00:00:00
20203039;567728;Moldava;;;98302;Moldava;;è.p.;97;;;41781;786492.00;966167.00;2013-12-04T00:00:00
20203047;567728;Moldava;;;98302;Moldava;;è.p.;98;;;41781;784955.00;965834.00;2013-12-04T00:00:00
20203055;567728;Moldava;;;98302;Moldava;;è.p.;107;;;41781;786418.00;966095.00;2013-12-04T00:00:00
20203063;567728;Moldava;;;98302;Moldava;;è.p.;108;;;41781;786706.11;965623.18;2013-12-04T00:00:00
20203071;567728;Moldava;;;98302;Moldava;;è.p.;113;;;41781;784492.00;966098.00;2013-12-04T00:00:00
20203080;567728;Moldava;;;98302;Moldava;;è.p.;115;;;41781;786485.00;966104.00;2013-12-04T00:00:00
20203098;567728;Moldava;;;98302;Moldava;;è.p.;124;;;41781;785742.00;966190.00;2013-12-04T00:00:00
20203101;567728;Moldava;;;98302;Moldava;;è.p.;129;;;41781;784455.00;966128.00;2013-12-04T00:00:00
20203110;567728;Moldava;;;98302;Moldava;;è.p.;130;;;41781;784290.00;966288.00;2013-12-04T00:00:00
20203128;567728;Moldava;;;98302;Moldava;;è.p.;132;;;41781;784069.48;966987.61;2013-12-04T00:00:00
20203136;567728;Moldava;;;98302;Moldava;;è.p.;133;;;41781;785825.00;966153.00;2013-12-04T00:00:00
20203144;567728;Moldava;;;98302;Moldava;;è.p.;135;;;41781;784473.00;966113.00;2013-12-04T00:00:00
