Kód ADM;Kód obce;Název obce;Název MOMC;Název MOP;Kód èásti obce;Název èásti obce;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
9308695;555223;Velké Chvojno;;;88382;Arnultovice;;è.p.;4;;;40002;759671.33;970514.98;2013-12-04T00:00:00
9308717;555223;Velké Chvojno;;;88382;Arnultovice;;è.p.;8;;;40002;759672.23;970422.66;2013-12-04T00:00:00
9308725;555223;Velké Chvojno;;;88382;Arnultovice;;è.p.;11;;;40002;759598.54;970331.47;2013-12-04T00:00:00
9308733;555223;Velké Chvojno;;;88382;Arnultovice;;è.p.;13;;;40002;759544.58;970219.83;2013-12-04T00:00:00
9308741;555223;Velké Chvojno;;;88382;Arnultovice;;è.p.;16;;;40002;759524.76;970120.02;2013-12-04T00:00:00
9308750;555223;Velké Chvojno;;;88382;Arnultovice;;è.p.;20;;;40002;759433.96;970180.64;2013-12-04T00:00:00
9308768;555223;Velké Chvojno;;;88382;Arnultovice;;è.p.;21;;;40002;759454.16;970217.20;2013-12-04T00:00:00
9308776;555223;Velké Chvojno;;;88382;Arnultovice;;è.p.;22;;;40002;759478.23;970178.30;2013-12-04T00:00:00
9308784;555223;Velké Chvojno;;;88382;Arnultovice;;è.p.;23;;;40002;759495.74;970197.77;2013-12-04T00:00:00
9308792;555223;Velké Chvojno;;;88382;Arnultovice;;è.p.;25;;;40002;759508.62;970228.94;2013-12-04T00:00:00
9308806;555223;Velké Chvojno;;;88382;Arnultovice;;è.p.;26;;;40002;759514.00;970247.40;2013-12-04T00:00:00
9308814;555223;Velké Chvojno;;;88382;Arnultovice;;è.p.;28;;;40002;759492.97;970271.19;2013-12-04T00:00:00
9308822;555223;Velké Chvojno;;;88382;Arnultovice;;è.p.;32;;;40002;759570.72;970423.04;2013-12-04T00:00:00
9308831;555223;Velké Chvojno;;;88382;Arnultovice;;è.p.;33;;;40002;759596.50;970439.78;2013-12-04T00:00:00
9308849;555223;Velké Chvojno;;;88382;Arnultovice;;è.p.;36;;;40002;759638.99;970540.26;2013-12-04T00:00:00
9308857;555223;Velké Chvojno;;;88382;Arnultovice;;è.p.;41;;;40002;759482.39;970240.41;2013-12-04T00:00:00
9308865;555223;Velké Chvojno;;;88382;Arnultovice;;è.p.;42;;;40002;759551.45;970317.50;2013-12-04T00:00:00
9308873;555223;Velké Chvojno;;;88382;Arnultovice;;è.p.;44;;;40002;759415.28;970108.68;2013-12-04T00:00:00
9308881;555223;Velké Chvojno;;;88382;Arnultovice;;è.p.;45;;;40002;759573.73;970375.61;2013-12-04T00:00:00
9308890;555223;Velké Chvojno;;;88382;Arnultovice;;è.p.;46;;;40002;759528.75;970171.41;2013-12-04T00:00:00
9308911;555223;Velké Chvojno;;;88382;Arnultovice;;è.ev.;19;;;40002;759435.37;970158.47;2013-12-04T00:00:00
9308920;555223;Velké Chvojno;;;88382;Arnultovice;;è.ev.;87;;;40002;759696.35;970510.48;2013-12-04T00:00:00
9308938;555223;Velké Chvojno;;;88382;Arnultovice;;è.ev.;100;;;40002;759682.43;970467.49;2013-12-04T00:00:00
9308946;555223;Velké Chvojno;;;88382;Arnultovice;;è.ev.;101;;;40002;759635.09;970392.17;2013-12-04T00:00:00
9308954;555223;Velké Chvojno;;;88391;Luèní Chvojno;;è.p.;1;;;40002;758862.13;969451.27;2013-12-04T00:00:00
9308962;555223;Velké Chvojno;;;88391;Luèní Chvojno;;è.p.;4;;;40002;758844.28;969386.78;2013-12-04T00:00:00
9308971;555223;Velké Chvojno;;;88391;Luèní Chvojno;;è.p.;6;;;40002;758856.43;969356.48;2013-12-04T00:00:00
9308989;555223;Velké Chvojno;;;88391;Luèní Chvojno;;è.p.;8;;;40002;758836.09;969292.95;2013-12-04T00:00:00
9309004;555223;Velké Chvojno;;;88391;Luèní Chvojno;;è.p.;10;;;40002;758819.07;969187.64;2013-12-04T00:00:00
9309012;555223;Velké Chvojno;;;88391;Luèní Chvojno;;è.p.;11;;;40002;758810.73;969144.96;2013-12-04T00:00:00
9309021;555223;Velké Chvojno;;;88391;Luèní Chvojno;;è.p.;12;;;40002;758789.44;969152.82;2013-12-04T00:00:00
9309039;555223;Velké Chvojno;;;88391;Luèní Chvojno;;è.p.;13;;;40002;758789.83;969195.70;2013-12-04T00:00:00
9309047;555223;Velké Chvojno;;;88391;Luèní Chvojno;;è.p.;14;;;40002;758774.88;969212.23;2013-12-04T00:00:00
9309055;555223;Velké Chvojno;;;88391;Luèní Chvojno;;è.p.;15;;;40002;758750.31;969191.61;2013-12-04T00:00:00
9309063;555223;Velké Chvojno;;;88391;Luèní Chvojno;;è.p.;16;;;40002;758721.03;969179.75;2013-12-04T00:00:00
9309071;555223;Velké Chvojno;;;88391;Luèní Chvojno;;è.p.;19;;;40002;758635.30;969177.85;2013-12-04T00:00:00
