Kуd ADM;Kуd obce;Nбzev obce;Nбzev MOMC;Nбzev MOP;Kуd ибsti obce;Nбzev ибsti obce;Nбzev ulice;Typ SO;Инslo domovnн;Инslo orientaиnн;Znak инsla orientaиnнho;PSИ;Souшadnice Y;Souшadnice X;Platн Od
27320570;539180;Dobшни;;;27766;Dobшни;;и.p.;125;;;25225;755416.16;1049073.04;2013-12-04T00:00:00
27320588;539180;Dobшни;;;27766;Dobшни;;и.p.;126;;;25225;755396.42;1049067.34;2013-12-04T00:00:00
27320596;539180;Dobшни;;;27766;Dobшни;;и.p.;127;;;25225;755385.85;1049099.86;2013-12-04T00:00:00
27320600;539180;Dobшни;;;27766;Dobшни;;и.p.;128;;;25225;755379.45;1049119.34;2013-12-04T00:00:00
27320618;539180;Dobшни;;;27766;Dobшни;;и.p.;129;;;25225;755393.94;1049130.18;2014-02-07T00:00:00
27320626;539180;Dobшни;;;27766;Dobшни;;и.p.;130;;;25225;;;2011-07-01T00:00:00
27320634;539180;Dobшни;;;27766;Dobшни;;и.p.;131;;;25225;755443.74;1049141.30;2013-12-04T00:00:00
27320642;539180;Dobшни;;;27766;Dobшни;;и.p.;132;;;25225;;;2011-07-01T00:00:00
27552454;539180;Dobшни;;;27766;Dobшни;;и.p.;133;;;25225;755365.24;1048827.49;2013-12-04T00:00:00
27552462;539180;Dobшни;;;27766;Dobшни;;и.p.;134;;;25225;;;2011-07-01T00:00:00
27552471;539180;Dobшни;;;27766;Dobшни;;и.p.;135;;;25225;755300.79;1048932.90;2016-04-11T00:00:00
27552489;539180;Dobшни;;;27766;Dobшни;;и.p.;136;;;25225;755440.00;1048832.00;2013-12-04T00:00:00
27552497;539180;Dobшни;;;27766;Dobшни;;и.p.;137;;;25225;755159.00;1049025.00;2013-12-04T00:00:00
27552501;539180;Dobшни;;;27766;Dobшни;;и.p.;138;;;25225;755203.59;1048508.15;2013-12-04T00:00:00
27552519;539180;Dobшни;;;27766;Dobшни;;и.p.;139;;;25225;755271.03;1048874.04;2014-10-09T00:00:00
27552527;539180;Dobшни;;;27766;Dobшни;;и.p.;140;;;25225;755379.31;1048630.74;2013-12-04T00:00:00
27552535;539180;Dobшни;;;27766;Dobшни;;и.p.;141;;;25225;755285.13;1048886.23;2013-12-04T00:00:00
27552543;539180;Dobшни;;;27766;Dobшни;;и.p.;142;;;25225;755267.10;1048522.75;2014-10-09T00:00:00
27552551;539180;Dobшни;;;27766;Dobшни;;и.p.;143;;;25225;755320.84;1048584.43;2015-01-30T00:00:00
27651606;539180;Dobшни;;;27766;Dobшни;;и.p.;103;;;25225;755233.80;1048787.59;2013-12-04T00:00:00
40707164;539180;Dobшни;;;27766;Dobшни;;и.p.;41;;;25225;755387.86;1048777.73;2013-12-04T00:00:00
75521105;539180;Dobшни;;;27766;Dobшни;;и.p.;154;;;25225;755197.40;1049111.32;2016-11-11T00:00:00
