Kуd ADM;Kуd obce;Nбzev obce;Nбzev MOMC;Nбzev MOP;Kуd ибsti obce;Nбzev ибsti obce;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
2314231;579092;Borovnice;;;7854;Borovnice;;и.p.;1;;;54477;652652.31;1007359.00;2013-12-01T00:00:00
2314240;579092;Borovnice;;;7854;Borovnice;;и.p.;2;;;54477;652791.88;1007304.69;2013-12-01T00:00:00
2314258;579092;Borovnice;;;7854;Borovnice;;и.p.;3;;;54477;652840.75;1007287.81;2013-12-01T00:00:00
2314266;579092;Borovnice;;;7854;Borovnice;;и.p.;4;;;54477;652805.94;1007270.63;2013-12-01T00:00:00
2314274;579092;Borovnice;;;7854;Borovnice;;и.p.;5;;;54477;652935.67;1007373.96;2013-12-01T00:00:00
2314282;579092;Borovnice;;;7854;Borovnice;;и.p.;6;;;54477;652916.88;1007176.00;2013-12-01T00:00:00
2314291;579092;Borovnice;;;7854;Borovnice;;и.p.;7;;;54477;652820.81;1007221.25;2013-12-01T00:00:00
2314304;579092;Borovnice;;;7854;Borovnice;;и.p.;8;;;54477;652938.06;1007214.94;2013-12-01T00:00:00
2314312;579092;Borovnice;;;7854;Borovnice;;и.p.;9;;;54477;652957.75;1007164.75;2013-12-01T00:00:00
2314321;579092;Borovnice;;;7854;Borovnice;;и.p.;10;;;54477;652969.19;1007201.38;2013-12-01T00:00:00
2314339;579092;Borovnice;;;7854;Borovnice;;и.p.;12;;;54477;652771.56;1007297.94;2013-12-01T00:00:00
2314347;579092;Borovnice;;;7854;Borovnice;;и.p.;13;;;54477;653032.69;1007125.19;2013-12-01T00:00:00
2314355;579092;Borovnice;;;7854;Borovnice;;и.p.;15;;;54477;653134.81;1007134.81;2013-12-01T00:00:00
2314363;579092;Borovnice;;;7854;Borovnice;;и.p.;16;;;54477;653345.00;1007358.00;2013-12-01T00:00:00
2314371;579092;Borovnice;;;7854;Borovnice;;и.p.;17;;;54477;653400.00;1007263.88;2013-12-01T00:00:00
2314380;579092;Borovnice;;;7854;Borovnice;;и.p.;19;;;54477;653445.44;1007265.50;2013-12-01T00:00:00
2314398;579092;Borovnice;;;7854;Borovnice;;и.p.;20;;;54477;653419.75;1007279.88;2013-12-01T00:00:00
2314401;579092;Borovnice;;;7854;Borovnice;;и.p.;21;;;54477;653495.63;1007285.25;2013-12-01T00:00:00
2314410;579092;Borovnice;;;7854;Borovnice;;и.p.;22;;;54477;653218.94;1007029.50;2013-12-01T00:00:00
2314428;579092;Borovnice;;;7854;Borovnice;;и.p.;23;;;54477;653157.25;1007068.31;2013-12-01T00:00:00
2314436;579092;Borovnice;;;7854;Borovnice;;и.p.;24;;;54477;653123.19;1007034.69;2013-12-01T00:00:00
2314444;579092;Borovnice;;;7854;Borovnice;;и.p.;25;;;54477;653094.38;1007065.94;2013-12-01T00:00:00
2314452;579092;Borovnice;;;7854;Borovnice;;и.p.;26;;;54477;653096.38;1006951.00;2013-12-01T00:00:00
2314461;579092;Borovnice;;;7854;Borovnice;;и.p.;28;;;54477;652644.63;1007442.56;2013-12-01T00:00:00
