Kód ADM;Kód obce;Název obce;Název MOMC;Název MOP;Kód èásti obce;Název èásti obce;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
15160696;579505;Malá Úpa;;;90361;Dolní Malá Úpa;;è.p.;1;;;54221;637030.73;988520.87;2013-12-04T00:00:00
15160700;579505;Malá Úpa;;;90361;Dolní Malá Úpa;;è.p.;2;;;54221;637149.02;988509.12;2013-12-04T00:00:00
15160718;579505;Malá Úpa;;;90361;Dolní Malá Úpa;;è.p.;3;;;54221;637090.03;988359.06;2013-12-04T00:00:00
15160726;579505;Malá Úpa;;;90361;Dolní Malá Úpa;;è.p.;5;;;54221;637098.67;988242.04;2013-12-04T00:00:00
15160734;579505;Malá Úpa;;;90361;Dolní Malá Úpa;;è.p.;6;;;54221;637202.18;988217.80;2013-12-04T00:00:00
15160742;579505;Malá Úpa;;;90361;Dolní Malá Úpa;;è.p.;7;;;54221;637047.04;988173.09;2013-12-04T00:00:00
15160751;579505;Malá Úpa;;;90361;Dolní Malá Úpa;;è.p.;8;;;54221;636964.38;988177.62;2013-12-04T00:00:00
15160769;579505;Malá Úpa;;;90361;Dolní Malá Úpa;;è.p.;11;;;54221;637144.85;987969.50;2013-12-04T00:00:00
15160777;579505;Malá Úpa;;;90361;Dolní Malá Úpa;;è.p.;12;;;54221;636912.59;987805.79;2013-12-04T00:00:00
15160793;579505;Malá Úpa;;;90361;Dolní Malá Úpa;;è.p.;14;;;54221;637063.58;987745.74;2013-12-04T00:00:00
15160807;579505;Malá Úpa;;;90361;Dolní Malá Úpa;;è.p.;16;;;54221;636847.77;987441.87;2013-12-04T00:00:00
15160815;579505;Malá Úpa;;;90361;Dolní Malá Úpa;;è.p.;17;;;54221;636921.47;987629.64;2013-12-04T00:00:00
15160823;579505;Malá Úpa;;;90361;Dolní Malá Úpa;;è.p.;19;;;54221;636699.89;987615.00;2013-12-04T00:00:00
15160831;579505;Malá Úpa;;;90361;Dolní Malá Úpa;;è.p.;20;;;54221;636643.43;987528.38;2013-12-04T00:00:00
15160840;579505;Malá Úpa;;;90361;Dolní Malá Úpa;;è.p.;21;;;54227;636206.70;987197.70;2013-12-04T00:00:00
15160858;579505;Malá Úpa;;;90361;Dolní Malá Úpa;;è.p.;22;;;54221;636511.33;987426.28;2013-12-04T00:00:00
15160866;579505;Malá Úpa;;;90361;Dolní Malá Úpa;;è.p.;23;;;54227;636381.07;987311.26;2013-12-04T00:00:00
15160874;579505;Malá Úpa;;;90361;Dolní Malá Úpa;;è.p.;24;;;54227;636366.11;987188.38;2013-12-04T00:00:00
15160882;579505;Malá Úpa;;;90361;Dolní Malá Úpa;;è.p.;25;;;54227;636371.13;987568.95;2013-12-04T00:00:00
15160891;579505;Malá Úpa;;;90361;Dolní Malá Úpa;;è.p.;26;;;54227;636557.52;987124.98;2013-12-04T00:00:00
15160904;579505;Malá Úpa;;;90361;Dolní Malá Úpa;;è.p.;27;;;54221;638224.41;986754.80;2013-12-04T00:00:00
