Kód ADM;Kód obce;Název obce;Název MOMC;Název MOP;Kód èásti obce;Název èásti obce;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
11700025;538540;Nehvizdy;;;102393;Nehvízdky;;è.p.;1;;;25081;719115.59;1040269.94;2013-12-03T00:00:00
11700033;538540;Nehvizdy;;;102393;Nehvízdky;;è.p.;3;;;25081;719239.23;1040223.67;2013-12-03T00:00:00
11700041;538540;Nehvizdy;;;102393;Nehvízdky;;è.p.;4;;;25081;719217.31;1040254.41;2013-12-03T00:00:00
11700050;538540;Nehvizdy;;;102393;Nehvízdky;;è.p.;5;;;25081;719138.97;1040307.43;2013-12-03T00:00:00
11700068;538540;Nehvizdy;;;102393;Nehvízdky;;è.p.;6;;;25081;;;2011-07-01T00:00:00
11700076;538540;Nehvizdy;;;102393;Nehvízdky;;è.p.;7;;;25081;719163.56;1040319.53;2013-12-03T00:00:00
11700084;538540;Nehvizdy;;;102393;Nehvízdky;;è.p.;8;;;25081;719334.05;1040166.63;2013-12-03T00:00:00
11700092;538540;Nehvizdy;;;102393;Nehvízdky;;è.p.;9;;;25081;719318.24;1040127.54;2013-12-03T00:00:00
11700106;538540;Nehvizdy;;;102393;Nehvízdky;;è.p.;10;;;25081;719189.08;1040220.36;2013-12-03T00:00:00
11700114;538540;Nehvizdy;;;102393;Nehvízdky;;è.p.;267;;;25081;719016.41;1040048.56;2013-12-03T00:00:00
11700122;538540;Nehvizdy;;;102407;Nehvizdy;Družstevní;è.p.;1;;;25081;720012.09;1041221.18;2013-12-03T00:00:00
11700131;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;2;;;25081;;;2011-07-01T00:00:00
11700149;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;3;;;25081;720054.46;1041212.02;2013-12-03T00:00:00
11700157;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;5;;;25081;720114.59;1041217.96;2013-12-03T00:00:00
11700165;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;6;;;25081;720123.14;1041239.36;2013-12-03T00:00:00
11700173;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;7;;;25081;720140.35;1041238.28;2013-12-03T00:00:00
11700181;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;8;;;25081;720178.20;1041223.56;2013-12-03T00:00:00
11700190;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;9;;;25081;720196.81;1041252.94;2013-12-03T00:00:00
11700203;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;10;;;25081;720217.91;1041230.50;2013-12-03T00:00:00
11700211;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;11;;;25081;720239.53;1041231.79;2013-12-03T00:00:00
11700220;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;12;;;25081;720265.92;1041233.00;2013-12-03T00:00:00
11700238;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;14;;;25081;720302.01;1041231.72;2013-12-03T00:00:00
11700246;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;15;;;25081;720339.80;1041222.34;2013-12-03T00:00:00
11700254;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;16;;;25081;720403.32;1041235.10;2013-12-03T00:00:00
11700262;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;17;;;25081;720503.57;1041187.47;2013-12-03T00:00:00
11700271;538540;Nehvizdy;;;102407;Nehvizdy;Toušeòská;è.p.;18;;;25081;720425.53;1041195.98;2013-12-03T00:00:00
11700289;538540;Nehvizdy;;;102407;Nehvizdy;Na Pøíštipku;è.p.;19;;;25081;720364.79;1041313.08;2013-12-03T00:00:00
11700297;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;20;;;25081;720323.35;1041197.98;2013-12-03T00:00:00
11700301;538540;Nehvizdy;;;102407;Nehvizdy;Podolí;è.p.;21;;;25081;720302.42;1041123.87;2013-12-03T00:00:00
11700319;538540;Nehvizdy;;;102407;Nehvizdy;Podolí;è.p.;22;;;25081;720382.22;1041081.92;2013-12-03T00:00:00
11700327;538540;Nehvizdy;;;102407;Nehvizdy;Podolí;è.p.;24;;;25081;720302.25;1041095.21;2013-12-03T00:00:00
11700335;538540;Nehvizdy;;;102407;Nehvizdy;Podolí;è.p.;25;;;25081;720290.94;1041084.39;2013-12-03T00:00:00
11700343;538540;Nehvizdy;;;102407;Nehvizdy;Podolí;è.p.;26;;;25081;720289.48;1041074.22;2013-12-03T00:00:00
11700351;538540;Nehvizdy;;;102407;Nehvizdy;Podolí;è.p.;27;;;25081;720282.26;1041060.44;2013-12-03T00:00:00
11700360;538540;Nehvizdy;;;102407;Nehvizdy;Podolí;è.p.;28;;;25081;720250.18;1041063.02;2013-12-03T00:00:00
11700378;538540;Nehvizdy;;;102407;Nehvizdy;Horoušanská;è.p.;29;;;25081;720298.85;1041271.60;2013-12-03T00:00:00
11700386;538540;Nehvizdy;;;102407;Nehvizdy;Podolí;è.p.;30;;;25081;720220.27;1041076.00;2016-03-09T00:00:00
11700394;538540;Nehvizdy;;;102407;Nehvizdy;Podolí;è.p.;31;;;25081;720246.61;1041104.12;2013-12-03T00:00:00
11700408;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;32;;;25081;720263.15;1041181.94;2013-12-03T00:00:00
11700416;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;33;;;25081;720231.30;1041188.68;2013-12-03T00:00:00
11700424;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;34;;;25081;720221.59;1041168.76;2013-12-03T00:00:00
11700432;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;35;;;25081;720209.23;1041156.05;2013-12-03T00:00:00
11700441;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;37;;;25081;720183.17;1041165.19;2013-12-03T00:00:00
11700459;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;39;;;25081;720166.16;1041198.97;2013-12-03T00:00:00
11700467;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;40;;;25081;720143.28;1041180.95;2013-12-03T00:00:00
11700475;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;41;;;25081;720118.80;1041187.08;2013-12-03T00:00:00
11700483;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;42;;;25081;720095.55;1041192.16;2013-12-03T00:00:00
11700491;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;44;;;25081;719997.00;1041135.69;2013-12-03T00:00:00
11700505;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;45;;;25081;719989.91;1041126.53;2013-12-03T00:00:00
11700513;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;46;;;25081;719960.86;1041122.88;2013-12-03T00:00:00
11700521;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;48;;;25081;719969.96;1041165.02;2013-12-03T00:00:00
11700530;538540;Nehvizdy;;;102407;Nehvizdy;Pražská;è.p.;49;;;25081;719988.42;1041168.53;2013-12-03T00:00:00
