Kód ADM;Kód obce;Název obce;Název MOMC;Název MOP;Kód èásti obce;Název èásti obce;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
11968133;537969;Otovice;;;116599;Otovice;Dìpoltovická;è.p.;1;;;36001;849885.01;1008173.07;2013-12-05T00:00:00
11968141;537969;Otovice;;;116599;Otovice;Dìpoltovická;è.p.;2;;;36001;849891.46;1008131.61;2013-12-05T00:00:00
11968150;537969;Otovice;;;116599;Otovice;Dìpoltovická;è.p.;3;;;36001;849851.00;1008108.74;2013-12-05T00:00:00
11968168;537969;Otovice;;;116599;Otovice;Dìpoltovická;è.p.;4;;;36001;849820.44;1008182.70;2013-12-05T00:00:00
11968176;537969;Otovice;;;116599;Otovice;Dìpoltovická;è.p.;5;;;36001;849788.61;1008195.97;2013-12-05T00:00:00
11968184;537969;Otovice;;;116599;Otovice;Luèní;è.p.;6;;;36001;849772.95;1008190.32;2013-12-05T00:00:00
11968192;537969;Otovice;;;116599;Otovice;Dìpoltovická;è.p.;7;;;36001;849707.64;1008150.75;2013-12-05T00:00:00
11968206;537969;Otovice;;;116599;Otovice;Dìpoltovická;è.p.;8;;;36001;849683.87;1008170.74;2013-12-05T00:00:00
11968214;537969;Otovice;;;116599;Otovice;Dìpoltovická;è.p.;9;;;36001;849713.70;1008218.10;2013-12-05T00:00:00
11968222;537969;Otovice;;;116599;Otovice;Dìpoltovická;è.p.;10;;;36001;849698.52;1008248.80;2013-12-05T00:00:00
11968231;537969;Otovice;;;116599;Otovice;Dìpoltovická;è.p.;11;;;36001;849669.02;1008238.09;2013-12-05T00:00:00
11968249;537969;Otovice;;;116599;Otovice;Dìpoltovická;è.p.;12;;;36001;849572.74;1008230.03;2013-12-05T00:00:00
11968257;537969;Otovice;;;116599;Otovice;Dìpoltovická;è.p.;13;;;36001;849550.25;1008298.99;2013-12-05T00:00:00
11968265;537969;Otovice;;;116599;Otovice;Hroznìtínská;è.p.;15;;;36001;849440.98;1008423.92;2013-12-05T00:00:00
11968273;537969;Otovice;;;116599;Otovice;Hroznìtínská;è.p.;18;;;36001;849437.91;1008643.13;2013-12-05T00:00:00
11968281;537969;Otovice;;;116599;Otovice;Dìpoltovická;è.p.;19;;;36001;849670.53;1008309.01;2013-12-05T00:00:00
11968290;537969;Otovice;;;116599;Otovice;Dìpoltovická;è.p.;20;;;36001;849763.15;1008238.56;2013-12-05T00:00:00
11968303;537969;Otovice;;;116599;Otovice;Dìpoltovická;è.p.;24;;;36001;849746.63;1008203.68;2013-12-05T00:00:00
11968311;537969;Otovice;;;116599;Otovice;V Bøezinkách;è.p.;26;;;36001;849796.19;1007079.74;2013-12-05T00:00:00
11968320;537969;Otovice;;;116599;Otovice;Dìpoltovická;è.p.;28;;;36001;849785.81;1008270.71;2013-12-05T00:00:00
