Kód ADM;Kód obce;Název obce;Název MOMC;Název MOP;Kód èásti obce;Název èásti obce;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
15825825;571016;Šaplava;;;162035;Šaplava;;è.p.;1;;;50353;660090.31;1028299.19;2013-12-03T00:00:00
15825833;571016;Šaplava;;;162035;Šaplava;;è.p.;2;;;50353;660163.50;1028269.38;2013-12-03T00:00:00
15825841;571016;Šaplava;;;162035;Šaplava;;è.p.;3;;;50353;660265.44;1028211.75;2013-12-03T00:00:00
15825850;571016;Šaplava;;;162035;Šaplava;;è.p.;4;;;50353;660224.38;1028249.56;2013-12-03T00:00:00
15825868;571016;Šaplava;;;162035;Šaplava;;è.p.;5;;;50353;660400.75;1028217.94;2013-12-03T00:00:00
15825876;571016;Šaplava;;;162035;Šaplava;;è.p.;6;;;50353;660322.94;1028218.44;2013-12-03T00:00:00
15825884;571016;Šaplava;;;162035;Šaplava;;è.p.;7;;;50353;660413.13;1028192.88;2013-12-03T00:00:00
15825892;571016;Šaplava;;;162035;Šaplava;;è.p.;8;;;50353;660438.50;1028190.75;2013-12-03T00:00:00
15825906;571016;Šaplava;;;162035;Šaplava;;è.p.;9;;;50353;660476.25;1028188.06;2013-12-03T00:00:00
15825914;571016;Šaplava;;;162035;Šaplava;;è.p.;10;;;50353;660523.94;1028182.63;2013-12-03T00:00:00
15825922;571016;Šaplava;;;162035;Šaplava;;è.p.;11;;;50353;660564.44;1028168.44;2013-12-03T00:00:00
15825931;571016;Šaplava;;;162035;Šaplava;;è.p.;12;;;50353;660595.50;1028172.81;2013-12-03T00:00:00
15825949;571016;Šaplava;;;162035;Šaplava;;è.p.;13;;;50353;660622.38;1028164.81;2013-12-03T00:00:00
15825957;571016;Šaplava;;;162035;Šaplava;;è.p.;14;;;50353;660596.75;1028116.19;2013-12-03T00:00:00
15825965;571016;Šaplava;;;162035;Šaplava;;è.p.;15;;;50353;660571.38;1028125.25;2013-12-03T00:00:00
15825973;571016;Šaplava;;;162035;Šaplava;;è.p.;16;;;50353;660291.75;1028190.19;2013-12-03T00:00:00
15825981;571016;Šaplava;;;162035;Šaplava;;è.p.;17;;;50353;660462.94;1028142.44;2013-12-03T00:00:00
15825990;571016;Šaplava;;;162035;Šaplava;;è.p.;18;;;50353;660320.06;1028107.50;2013-12-03T00:00:00
15826007;571016;Šaplava;;;162035;Šaplava;;è.p.;19;;;50353;660212.63;1028103.19;2013-12-03T00:00:00
15826015;571016;Šaplava;;;162035;Šaplava;;è.p.;20;;;50353;660166.38;1028112.88;2013-12-03T00:00:00
15826023;571016;Šaplava;;;162035;Šaplava;;è.p.;21;;;50353;660335.13;1028209.25;2013-12-03T00:00:00
15826031;571016;Šaplava;;;162035;Šaplava;;è.p.;22;;;50353;660163.00;1028220.50;2013-12-03T00:00:00
15826040;571016;Šaplava;;;162035;Šaplava;;è.p.;23;;;50353;660178.25;1028209.75;2013-12-03T00:00:00
15826058;571016;Šaplava;;;162035;Šaplava;;è.p.;24;;;50353;660196.31;1028209.25;2013-12-03T00:00:00
15826066;571016;Šaplava;;;162035;Šaplava;;è.p.;25;;;50353;660727.50;1028185.31;2013-12-03T00:00:00
15826074;571016;Šaplava;;;162035;Šaplava;;è.p.;26;;;50353;660245.44;1028205.75;2013-12-03T00:00:00
15826082;571016;Šaplava;;;162035;Šaplava;;è.p.;27;;;50353;660121.63;1028312.19;2013-12-03T00:00:00
15826091;571016;Šaplava;;;162035;Šaplava;;è.p.;28;;;50353;660102.88;1028138.81;2013-12-03T00:00:00
15826104;571016;Šaplava;;;162035;Šaplava;;è.p.;29;;;50353;660049.00;1028148.88;2013-12-03T00:00:00
15826112;571016;Šaplava;;;162035;Šaplava;;è.p.;30;;;50353;659929.50;1028290.13;2013-12-03T00:00:00
15826121;571016;Šaplava;;;162035;Šaplava;;è.p.;31;;;50353;660031.69;1028123.13;2013-12-03T00:00:00
15826139;571016;Šaplava;;;162035;Šaplava;;è.p.;32;;;50353;660017.94;1028129.56;2013-12-03T00:00:00
15826147;571016;Šaplava;;;162035;Šaplava;;è.p.;35;;;50353;660006.13;1028151.88;2013-12-03T00:00:00
15826155;571016;Šaplava;;;162035;Šaplava;;è.p.;36;;;50353;660068.25;1028347.25;2013-12-03T00:00:00
15826163;571016;Šaplava;;;162035;Šaplava;;è.p.;37;;;50353;660209.56;1028298.44;2013-12-03T00:00:00
15826171;571016;Šaplava;;;162035;Šaplava;;è.p.;39;;;50353;660502.81;1028187.44;2013-12-03T00:00:00
15826180;571016;Šaplava;;;162035;Šaplava;;è.p.;40;;;50353;660109.88;1028220.50;2013-12-03T00:00:00
15826201;571016;Šaplava;;;162035;Šaplava;;è.p.;44;;;50353;660187.56;1028152.63;2013-12-03T00:00:00
15826210;571016;Šaplava;;;162035;Šaplava;;è.p.;45;;;50353;660658.63;1028143.94;2013-12-03T00:00:00
15826228;571016;Šaplava;;;162035;Šaplava;;è.p.;47;;;50353;659929.00;1028323.25;2013-12-03T00:00:00
15826236;571016;Šaplava;;;162035;Šaplava;;è.p.;48;;;50353;660083.56;1028184.19;2013-12-03T00:00:00
15826244;571016;Šaplava;;;162035;Šaplava;;è.p.;49;;;50353;660415.49;1028152.00;2014-05-14T00:00:00
15826252;571016;Šaplava;;;162035;Šaplava;;è.p.;50;;;50353;660356.44;1028197.00;2013-12-03T00:00:00
15826261;571016;Šaplava;;;162035;Šaplava;;è.p.;51;;;50353;660460.50;1028181.44;2013-12-03T00:00:00
15826279;571016;Šaplava;;;162035;Šaplava;;è.p.;52;;;50353;660084.81;1028159.13;2013-12-03T00:00:00
15826287;571016;Šaplava;;;162035;Šaplava;;è.p.;53;;;50353;660110.97;1028365.38;2013-12-03T00:00:00
15826295;571016;Šaplava;;;162035;Šaplava;;è.p.;57;;;50353;660265.69;1028243.00;2013-12-03T00:00:00
15826309;571016;Šaplava;;;162035;Šaplava;;è.p.;58;;;50353;660224.63;1028299.19;2013-12-03T00:00:00
15826317;571016;Šaplava;;;162035;Šaplava;;è.p.;59;;;50353;660629.06;1028097.19;2013-12-03T00:00:00
15826325;571016;Šaplava;;;162035;Šaplava;;è.p.;62;;;50353;660578.94;1028128.56;2013-12-03T00:00:00
15826333;571016;Šaplava;;;162035;Šaplava;;è.p.;64;;;50353;660092.81;1028387.13;2013-12-03T00:00:00
15826341;571016;Šaplava;;;162035;Šaplava;;è.p.;65;;;50353;660119.38;1028385.13;2013-12-03T00:00:00
15826368;571016;Šaplava;;;162035;Šaplava;;è.p.;67;;;50353;660109.38;1028364.56;2013-12-03T00:00:00
15826376;571016;Šaplava;;;162035;Šaplava;;è.p.;68;;;50353;660153.19;1028225.94;2013-12-03T00:00:00
15826384;571016;Šaplava;;;162035;Šaplava;;è.p.;69;;;50353;660145.25;1028177.63;2013-12-03T00:00:00
