Kуd ADM;Kуd obce;Nбzev obce;Nбzev MOMC;Nбzev MOP;Kуd ибsti obce;Nбzev ибsti obce;Nбzev ulice;Typ SO;Инslo domovnн;Инslo orientaиnн;Znak инsla orientaиnнho;PSИ;Souшadnice Y;Souшadnice X;Platн Od
15534791;571032;Pмиice;;;118745;Pмиice;;и.p.;1;;;29446;697714.00;1019671.94;2013-12-05T00:00:00
15534804;571032;Pмиice;;;118745;Pмиice;;и.p.;4;;;29446;697615.88;1019656.81;2013-12-05T00:00:00
15534812;571032;Pмиice;;;118745;Pмиice;;и.p.;9;;;29446;697620.75;1019369.94;2013-12-05T00:00:00
15534821;571032;Pмиice;;;118745;Pмиice;;и.p.;10;;;29446;697571.13;1019320.43;2013-12-05T00:00:00
15534839;571032;Pмиice;;;118745;Pмиice;;и.p.;15;;;29446;697763.75;1019209.50;2013-12-05T00:00:00
15534847;571032;Pмиice;;;118745;Pмиice;;и.p.;16;;;29446;697757.56;1019231.44;2013-12-05T00:00:00
15534855;571032;Pмиice;;;118745;Pмиice;;и.p.;18;;;29446;697746.00;1019296.69;2013-12-05T00:00:00
15534863;571032;Pмиice;;;118745;Pмиice;;и.p.;19;;;29446;697762.88;1019320.69;2013-12-05T00:00:00
15534871;571032;Pмиice;;;118745;Pмиice;;и.p.;20;;;29446;697749.56;1019352.13;2013-12-05T00:00:00
15534880;571032;Pмиice;;;118745;Pмиice;;и.p.;22;;;29446;697769.69;1019420.88;2013-12-05T00:00:00
15534898;571032;Pмиice;;;118745;Pмиice;;и.p.;25;;;29446;697767.00;1019505.00;2013-12-05T00:00:00
15534901;571032;Pмиice;;;118745;Pмиice;;и.p.;26;;;29446;697637.50;1019914.69;2013-12-05T00:00:00
15534910;571032;Pмиice;;;118745;Pмиice;;и.p.;28;;;29446;697834.31;1019611.44;2013-12-05T00:00:00
15534928;571032;Pмиice;;;118745;Pмиice;;и.p.;30;;;29446;697757.56;1019955.56;2013-12-05T00:00:00
15534936;571032;Pмиice;;;118745;Pмиice;;и.p.;31;;;29446;696860.94;1019692.06;2013-12-05T00:00:00
15534944;571032;Pмиice;;;118745;Pмиice;;и.p.;39;;;29446;697735.00;1019454.94;2013-12-05T00:00:00
15534952;571032;Pмиice;;;118745;Pмиice;;и.p.;40;;;29446;697623.00;1019622.00;2013-12-05T00:00:00
