Kód ADM;Kód obce;Název obce;Název MOMC;Název MOP;Kód èásti obce;Název èásti obce;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
1544110;534404;Lužce;;;89249;Lužce;;è.p.;1;;;26718;760460.88;1052219.43;2013-12-04T00:00:00
1544128;534404;Lužce;;;89249;Lužce;;è.p.;2;;;26718;760373.81;1052084.00;2013-12-04T00:00:00
1544136;534404;Lužce;;;89249;Lužce;;è.p.;3;;;26718;760398.50;1052155.63;2013-12-04T00:00:00
1544144;534404;Lužce;;;89249;Lužce;;è.p.;4;;;26718;760399.50;1052190.25;2013-12-04T00:00:00
1544152;534404;Lužce;;;89249;Lužce;;è.p.;5;;;26718;760394.06;1052218.00;2013-12-04T00:00:00
1544161;534404;Lužce;;;89249;Lužce;;è.p.;6;;;26718;760396.06;1052241.00;2013-12-04T00:00:00
1544179;534404;Lužce;;;89249;Lužce;;è.p.;7;;;26718;760370.75;1052253.00;2013-12-04T00:00:00
1544187;534404;Lužce;;;89249;Lužce;;è.p.;8;;;26718;760378.63;1052283.88;2013-12-04T00:00:00
1544195;534404;Lužce;;;89249;Lužce;;è.p.;9;;;26718;760326.50;1052296.50;2013-12-04T00:00:00
1544209;534404;Lužce;;;89249;Lužce;;è.p.;10;;;26718;760347.44;1052208.38;2013-12-04T00:00:00
1544217;534404;Lužce;;;89249;Lužce;;è.p.;11;;;26718;760316.56;1052181.75;2013-12-04T00:00:00
1544225;534404;Lužce;;;89249;Lužce;;è.p.;12;;;26718;760317.63;1052159.38;2013-12-04T00:00:00
1544233;534404;Lužce;;;89249;Lužce;;è.p.;13;;;26718;760316.56;1052144.63;2013-12-04T00:00:00
1544241;534404;Lužce;;;89249;Lužce;;è.p.;14;;;26718;760323.06;1052280.00;2013-12-04T00:00:00
1544250;534404;Lužce;;;89249;Lužce;;è.p.;15;;;26718;760271.69;1052150.13;2013-12-04T00:00:00
1544268;534404;Lužce;;;89249;Lužce;;è.p.;16;;;26718;760225.75;1052160.50;2013-12-04T00:00:00
1544276;534404;Lužce;;;89249;Lužce;;è.p.;17;;;26718;760236.38;1052195.75;2013-12-04T00:00:00
1544284;534404;Lužce;;;89249;Lužce;;è.p.;18;;;26718;760257.63;1052224.50;2013-12-04T00:00:00
1544292;534404;Lužce;;;89249;Lužce;;è.p.;19;;;26718;760277.19;1052247.88;2013-12-04T00:00:00
1544306;534404;Lužce;;;89249;Lužce;;è.p.;20;;;26718;760279.19;1052258.75;2013-12-04T00:00:00
1544314;534404;Lužce;;;89249;Lužce;;è.p.;21;;;26718;760295.69;1052279.38;2013-12-04T00:00:00
1544322;534404;Lužce;;;89249;Lužce;;è.p.;22;;;26718;760182.38;1052945.75;2013-12-04T00:00:00
1544331;534404;Lužce;;;89249;Lužce;;è.p.;23;;;26718;760321.38;1052330.75;2013-12-04T00:00:00
1544349;534404;Lužce;;;89249;Lužce;;è.p.;24;;;26718;760289.19;1052304.00;2013-12-04T00:00:00
1544357;534404;Lužce;;;89249;Lužce;;è.p.;25;;;26718;760444.06;1052163.88;2013-12-04T00:00:00
1544365;534404;Lužce;;;89249;Lužce;;è.p.;26;;;26718;760310.06;1052358.88;2013-12-04T00:00:00
1544373;534404;Lužce;;;89249;Lužce;;è.p.;27;;;26718;760285.06;1052369.88;2013-12-04T00:00:00
1544381;534404;Lužce;;;89249;Lužce;;è.p.;28;;;26718;760422.50;1052109.75;2013-12-04T00:00:00
1544390;534404;Lužce;;;89249;Lužce;;è.p.;29;;;26718;;;2011-07-01T00:00:00
1544403;534404;Lužce;;;89249;Lužce;;è.p.;31;;;26718;760431.75;1052230.38;2013-12-04T00:00:00
1544411;534404;Lužce;;;89249;Lužce;;è.p.;33;;;26718;760282.31;1052407.25;2013-12-04T00:00:00
1544420;534404;Lužce;;;89249;Lužce;;è.p.;34;;;26718;760414.94;1052267.75;2013-12-04T00:00:00
1544438;534404;Lužce;;;89249;Lužce;;è.p.;35;;;26718;760287.44;1052330.13;2013-12-04T00:00:00
1544446;534404;Lužce;;;89249;Lužce;;è.p.;36;;;26718;760302.44;1052175.25;2013-12-04T00:00:00
1544454;534404;Lužce;;;89249;Lužce;;è.p.;37;;;26718;760306.31;1052147.13;2013-12-04T00:00:00
1544462;534404;Lužce;;;89249;Lužce;;è.p.;38;;;26718;760294.31;1052141.88;2013-12-04T00:00:00
1544471;534404;Lužce;;;89249;Lužce;;è.p.;39;;;26718;760275.13;1052112.50;2013-12-04T00:00:00
1544489;534404;Lužce;;;89249;Lužce;;è.p.;40;;;26718;760276.81;1052093.63;2013-12-04T00:00:00
1544497;534404;Lužce;;;89249;Lužce;;è.p.;41;;;26718;760290.50;1052316.00;2013-12-04T00:00:00
1544501;534404;Lužce;;;89249;Lužce;;è.p.;42;;;26718;760278.19;1052082.25;2013-12-04T00:00:00
1544519;534404;Lužce;;;89249;Lužce;;è.p.;43;;;26718;760260.38;1052064.88;2013-12-04T00:00:00
1544527;534404;Lužce;;;89249;Lužce;;è.p.;44;;;26718;760311.19;1052452.50;2013-12-04T00:00:00
25583034;534404;Lužce;;;89249;Lužce;;è.p.;46;;;26718;760382.00;1052111.00;2013-12-04T00:00:00
25859935;534404;Lužce;;;89249;Lužce;;è.p.;48;;;26718;760395.37;1052143.59;2013-12-04T00:00:00
25905775;534404;Lužce;;;89249;Lužce;;è.p.;47;;;26718;760247.53;1052114.50;2013-12-04T00:00:00
26309343;534404;Lužce;;;89249;Lužce;;è.p.;49;;;26718;760415.00;1052044.00;2013-12-04T00:00:00
26783983;534404;Lužce;;;89249;Lužce;;è.p.;45;;;26718;760230.56;1052084.13;2013-12-04T00:00:00
27730379;534404;Lužce;;;89249;Lužce;;è.p.;50;;;26718;760214.98;1052456.28;2013-12-04T00:00:00
