Kód ADM;Kód obce;Název obce;Název MOMC;Název MOP;Kód èásti obce;Název èásti obce;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
876771;550523;Stožec;;;155667;Èeské Žleby;;è.p.;1;;;38451;;;2011-07-01T00:00:00
876780;550523;Stožec;;;155667;Èeské Žleby;;è.p.;2;;;38451;807189.11;1170195.82;2013-12-07T00:00:00
876798;550523;Stožec;;;155667;Èeské Žleby;;è.p.;3;;;38451;807089.14;1170192.41;2013-12-07T00:00:00
876801;550523;Stožec;;;155667;Èeské Žleby;;è.p.;4;;;38451;807112.41;1170201.29;2013-12-07T00:00:00
876810;550523;Stožec;;;155667;Èeské Žleby;;è.p.;5;;;38451;807528.37;1169884.47;2013-12-07T00:00:00
876828;550523;Stožec;;;155667;Èeské Žleby;;è.p.;6;;;38451;807820.20;1169674.60;2013-12-07T00:00:00
876836;550523;Stožec;;;155667;Èeské Žleby;;è.p.;7;;;38451;808056.33;1169562.39;2013-12-07T00:00:00
876844;550523;Stožec;;;155667;Èeské Žleby;;è.p.;8;;;38451;808069.89;1169534.42;2013-12-07T00:00:00
876852;550523;Stožec;;;155667;Èeské Žleby;;è.p.;9;;;38451;808187.09;1169767.25;2013-12-07T00:00:00
876861;550523;Stožec;;;155667;Èeské Žleby;;è.p.;10;;;38451;808083.46;1169509.35;2013-12-07T00:00:00
876887;550523;Stožec;;;155667;Èeské Žleby;;è.p.;14;;;38451;807965.86;1169476.92;2013-12-07T00:00:00
876895;550523;Stožec;;;155667;Èeské Žleby;;è.p.;15;;;38451;807946.66;1169469.18;2013-12-07T00:00:00
876909;550523;Stožec;;;155667;Èeské Žleby;;è.p.;16;;;38451;807570.89;1169292.64;2013-12-07T00:00:00
876917;550523;Stožec;;;155667;Èeské Žleby;;è.p.;17;;;38451;805751.48;1165486.81;2013-12-07T00:00:00
876925;550523;Stožec;;;155667;Èeské Žleby;;è.p.;18;;;38451;807089.59;1170506.49;2013-12-07T00:00:00
876941;550523;Stožec;;;155667;Èeské Žleby;;è.p.;20;;;38451;807262.43;1170178.55;2013-12-07T00:00:00
876950;550523;Stožec;;;155667;Èeské Žleby;;è.p.;21;;;38451;807242.94;1170061.56;2013-12-07T00:00:00
876968;550523;Stožec;;;155667;Èeské Žleby;;è.p.;22;;;38451;807566.75;1169891.79;2013-12-07T00:00:00
876976;550523;Stožec;;;155667;Èeské Žleby;;è.p.;23;;;38451;807552.64;1169869.78;2013-12-07T00:00:00
876984;550523;Stožec;;;155667;Èeské Žleby;;è.p.;24;;;38451;807603.29;1169829.56;2013-12-07T00:00:00
876992;550523;Stožec;;;155667;Èeské Žleby;;è.p.;25;;;38451;807624.79;1169818.05;2013-12-07T00:00:00
877000;550523;Stožec;;;155667;Èeské Žleby;;è.p.;26;;;38451;807978.39;1169602.29;2013-12-07T00:00:00
877018;550523;Stožec;;;155667;Èeské Žleby;;è.p.;28;;;38451;808102.72;1169628.25;2013-12-07T00:00:00
877026;550523;Stožec;;;155667;Èeské Žleby;;è.p.;29;;;38451;808105.17;1169596.29;2013-12-07T00:00:00
877034;550523;Stožec;;;155667;Èeské Žleby;;è.p.;30;;;38451;808171.52;1169726.90;2013-12-07T00:00:00
877042;550523;Stožec;;;155667;Èeské Žleby;;è.p.;31;;;38451;808218.73;1169763.13;2013-12-07T00:00:00
877051;550523;Stožec;;;155667;Èeské Žleby;;è.p.;32;;;38451;808018.51;1169445.97;2013-12-07T00:00:00
877069;550523;Stožec;;;155667;Èeské Žleby;;è.p.;33;;;38451;808025.28;1169428.17;2013-12-07T00:00:00
877077;550523;Stožec;;;155667;Èeské Žleby;;è.p.;34;;;38451;807730.42;1169342.90;2013-12-07T00:00:00
877085;550523;Stožec;;;155667;Èeské Žleby;;è.p.;35;;;38451;807752.92;1169427.57;2013-12-07T00:00:00
877093;550523;Stožec;;;155667;Èeské Žleby;;è.p.;36;;;38451;807514.40;1169330.70;2013-12-07T00:00:00
877107;550523;Stožec;;;155667;Èeské Žleby;;è.p.;37;;;38451;807988.19;1169436.61;2013-12-07T00:00:00
877115;550523;Stožec;;;155667;Èeské Žleby;;è.p.;38;;;38451;807903.43;1169416.00;2013-12-07T00:00:00
877123;550523;Stožec;;;155667;Èeské Žleby;;è.p.;39;;;38451;807892.98;1169411.29;2013-12-07T00:00:00
877131;550523;Stožec;;;155667;Èeské Žleby;;è.p.;40;;;38451;807882.81;1169406.50;2013-12-07T00:00:00
877140;550523;Stožec;;;155667;Èeské Žleby;;è.p.;41;;;38451;807861.75;1169396.87;2013-12-07T00:00:00
877158;550523;Stožec;;;155667;Èeské Žleby;;è.p.;42;;;38451;807850.87;1169391.80;2013-12-07T00:00:00
877166;550523;Stožec;;;155667;Èeské Žleby;;è.p.;43;;;38451;807840.44;1169386.87;2013-12-07T00:00:00
877174;550523;Stožec;;;155667;Èeské Žleby;;è.p.;44;;;38451;808144.54;1169655.35;2013-12-07T00:00:00
877182;550523;Stožec;;;155667;Èeské Žleby;;è.p.;52;;;38451;805820.59;1165875.59;2013-12-07T00:00:00
877191;550523;Stožec;;;155667;Èeské Žleby;;è.ev.;1;;;38451;807698.01;1169347.82;2013-12-07T00:00:00
877204;550523;Stožec;;;155667;Èeské Žleby;;è.ev.;2;;;38451;;;2011-07-01T00:00:00
877221;550523;Stožec;;;155675;Dobrá;;è.p.;2;;;38451;801889.90;1170581.07;2013-12-07T00:00:00
877239;550523;Stožec;;;155675;Dobrá;;è.p.;3;;;38451;804628.76;1168323.52;2013-12-07T00:00:00
877247;550523;Stožec;;;155675;Dobrá;;è.p.;4;;;38451;804589.91;1168322.51;2013-12-07T00:00:00
877255;550523;Stožec;;;155675;Dobrá;;è.p.;5;;;38451;804443.34;1168322.58;2013-12-07T00:00:00
877263;550523;Stožec;;;155675;Dobrá;;è.p.;6;;;38451;804402.30;1168323.77;2013-12-07T00:00:00
877271;550523;Stožec;;;155675;Dobrá;;è.p.;7;;;38451;804252.14;1168352.52;2013-12-07T00:00:00
877280;550523;Stožec;;;155675;Dobrá;;è.p.;8;;;38451;804289.26;1168337.72;2013-12-07T00:00:00
877298;550523;Stožec;;;155675;Dobrá;;è.p.;9;;;38451;804216.88;1168361.48;2013-12-07T00:00:00
877301;550523;Stožec;;;155675;Dobrá;;è.p.;10;;;38451;804110.25;1168392.17;2013-12-07T00:00:00
877310;550523;Stožec;;;155675;Dobrá;;è.p.;11;;;38451;804081.23;1168406.78;2013-12-07T00:00:00
877328;550523;Stožec;;;155675;Dobrá;;è.p.;12;;;38451;804049.88;1168416.45;2013-12-07T00:00:00
877336;550523;Stožec;;;155675;Dobrá;;è.p.;13;;;38451;;;2011-07-01T00:00:00
877344;550523;Stožec;;;155675;Dobrá;;è.p.;14;;;38451;803801.16;1168512.03;2013-12-07T00:00:00
877361;550523;Stožec;;;155675;Dobrá;;è.p.;16;;;38451;803733.73;1168561.23;2013-12-07T00:00:00
877379;550523;Stožec;;;155675;Dobrá;;è.p.;17;;;38451;803725.58;1168563.46;2013-12-07T00:00:00
