KÛd ADM;KÛd obce;N·zev obce;N·zev MOMC;N·zev MOP;KÛd Ë·sti obce;N·zev Ë·sti obce;N·zev ulice;Typ SO;»Ìslo domovnÌ;»Ìslo orientaËnÌ;Znak ËÌsla orientaËnÌho;PS»;Sou¯adnice Y;Sou¯adnice X;PlatÌ Od
12631027;538051;Baöù;;;1121;Baöù;N·ves;Ë.p.;1;;;25065;737174.15;1030551.72;2013-12-06T00:00:00
12631035;538051;Baöù;;;1121;Baöù;N·ves;Ë.p.;2;;;25065;737144.06;1030545.63;2013-12-06T00:00:00
12631043;538051;Baöù;;;1121;Baöù;N·ves;Ë.p.;3;;;25065;737126.72;1030561.16;2013-12-06T00:00:00
12631051;538051;Baöù;;;1121;Baöù;Kate¯inky;Ë.p.;4;;;25065;737110.66;1030518.09;2013-12-06T00:00:00
12631060;538051;Baöù;;;1121;Baöù;Na Horku;Ë.p.;6;;;25065;736734.37;1030388.29;2016-04-20T00:00:00
12631078;538051;Baöù;;;1121;Baöù;Kate¯inky;Ë.p.;7;;;25065;737066.07;1030543.53;2013-12-06T00:00:00
12631086;538051;Baöù;;;1121;Baöù;Na Horku;Ë.p.;8;;;25065;737040.52;1030581.39;2013-12-06T00:00:00
12631094;538051;Baöù;;;1121;Baöù;Nad RybnÌkem;Ë.p.;9;;;25065;736989.20;1030587.58;2013-12-06T00:00:00
12631116;538051;Baöù;;;1121;Baöù;Nad RybnÌkem;Ë.p.;11;;;25065;736960.00;1030567.71;2013-12-06T00:00:00
12631124;538051;Baöù;;;1121;Baöù;Nad RybnÌkem;Ë.p.;12;;;25065;736958.88;1030588.50;2013-12-06T00:00:00
12631132;538051;Baöù;;;1121;Baöù;Nad RybnÌkem;Ë.p.;13;;;25065;736942.85;1030615.57;2013-12-06T00:00:00
12631141;538051;Baöù;;;1121;Baöù;Nad RybnÌkem;Ë.p.;14;;;25065;736965.13;1030623.82;2013-12-06T00:00:00
12631159;538051;Baöù;;;1121;Baöù;Na Hr·zi;Ë.p.;15;;;25065;736922.61;1030651.19;2013-12-06T00:00:00
12631167;538051;Baöù;;;1121;Baöù;Dlouh·;Ë.p.;16;;;25065;736934.97;1030715.04;2013-12-06T00:00:00
12631175;538051;Baöù;;;1121;Baöù;Nad RybnÌkem;Ë.p.;17;;;25065;737029.55;1030614.88;2013-12-06T00:00:00
12631183;538051;Baöù;;;1121;Baöù;N·ves;Ë.p.;18;;;25065;737054.13;1030595.33;2013-12-06T00:00:00
12631191;538051;Baöù;;;1121;Baöù;Dlouh·;Ë.p.;19;;;25065;737023.81;1030727.13;2013-12-06T00:00:00
12631205;538051;Baöù;;;1121;Baöù;HlavnÌ;Ë.p.;20;;;25065;737288.23;1030729.03;2013-12-06T00:00:00
12631213;538051;Baöù;;;1121;Baöù;HlavnÌ;Ë.p.;21;;;25065;737275.80;1030677.99;2013-12-06T00:00:00
12631221;538051;Baöù;;;1121;Baöù;HlavnÌ;Ë.p.;22;;;25065;737268.95;1030653.33;2013-12-06T00:00:00
12631230;538051;Baöù;;;1121;Baöù;Nad RybnÌkem;Ë.p.;23;;;25065;737015.40;1030602.87;2013-12-06T00:00:00
