Kףd ADM;Kףd obce;Nבzev obce;Nבzev MOMC;Nבzev MOP;Kףd טבsti obce;Nבzev טבsti obce;Nבzev ulice;Typ SO;ָםslo domovnם;ָםslo orientaטnם;Znak טםsla orientaטnםho;PSָ;Souרadnice Y;Souרadnice X;Platם Od
2744872;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;50;;;67501;642282.91;1155144.88;2013-12-05T00:00:00
2744881;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;51;;;67501;642383.97;1155256.97;2013-12-05T00:00:00
2744899;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;52;;;67501;642371.49;1155028.51;2013-12-05T00:00:00
2744902;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;53;;;67501;642236.44;1155029.16;2013-12-05T00:00:00
2744911;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;54;;;67501;642345.84;1155503.25;2013-12-05T00:00:00
2744929;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;55;;;67501;642379.25;1155218.57;2013-12-05T00:00:00
2744937;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;56;;;67501;642395.86;1155085.65;2013-12-05T00:00:00
2744945;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;57;;;67501;642340.73;1155125.12;2013-12-05T00:00:00
2744953;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;58;;;67501;642410.60;1155016.77;2013-12-05T00:00:00
2744961;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;266;;;67501;;;2011-07-01T00:00:00
2744970;590509;ָםmלר;;;23892;ָםmלר;;ט.ev.;1;;;67501;641645.11;1156169.26;2013-12-05T00:00:00
2744988;590509;ָםmלר;;;23892;ָםmלר;;ט.ev.;2;;;67501;641645.81;1156182.22;2013-12-05T00:00:00
2744996;590509;ָםmלר;;;23892;ָםmלר;;ט.ev.;3;;;67501;641684.68;1156224.35;2013-12-05T00:00:00
2745003;590509;ָםmלר;;;23892;ָםmלר;;ט.ev.;4;;;67501;641317.49;1156944.81;2013-12-05T00:00:00
2745011;590509;ָםmלר;;;23892;ָםmלר;;ט.ev.;5;;;67501;641504.44;1157122.64;2013-12-05T00:00:00
2745020;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;59;;;67501;642378.31;1154998.98;2013-12-05T00:00:00
25464451;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;61;;;67501;642243.28;1155099.88;2013-12-05T00:00:00
26363291;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;60;;;67501;642298.90;1155048.33;2013-12-05T00:00:00
26984270;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;62;;;67501;642238.19;1155038.53;2013-12-05T00:00:00
27166040;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;64;;;67501;642271.76;1155434.41;2013-12-05T00:00:00
27193918;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;65;;;67501;642387.96;1155469.99;2013-12-05T00:00:00
27883353;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;63;;;67501;642422.98;1155068.23;2013-12-05T00:00:00
