Kуd ADM;Kуd obce;Nбzev obce;Nбzev MOMC;Nбzev MOP;Kуd ибsti obce;Nбzev ибsti obce;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
8179034;556858;Bravantice;;;9733;Bravantice;;и.p.;1;;;74281;485782.72;1108943.38;2013-12-01T00:00:00
8179042;556858;Bravantice;;;9733;Bravantice;;и.p.;2;;;74281;485690.03;1108870.47;2013-12-01T00:00:00
8179051;556858;Bravantice;;;9733;Bravantice;;и.p.;3;;;74281;485687.06;1108848.16;2013-12-01T00:00:00
8179069;556858;Bravantice;;;9733;Bravantice;;и.p.;4;;;74281;485755.33;1109004.43;2013-12-01T00:00:00
8179077;556858;Bravantice;;;9733;Bravantice;;и.p.;5;;;74281;485677.07;1108806.01;2013-12-01T00:00:00
8179085;556858;Bravantice;;;9733;Bravantice;;и.p.;6;;;74281;485694.12;1108801.44;2013-12-01T00:00:00
8179093;556858;Bravantice;;;9733;Bravantice;;и.p.;7;;;74281;485689.55;1108765.09;2013-12-01T00:00:00
8179107;556858;Bravantice;;;9733;Bravantice;;и.p.;8;;;74281;485589.33;1107924.34;2013-12-01T00:00:00
8179115;556858;Bravantice;;;9733;Bravantice;;и.p.;9;;;74281;485654.17;1108669.69;2013-12-01T00:00:00
8179123;556858;Bravantice;;;9733;Bravantice;;и.p.;10;;;74281;485544.77;1108675.44;2013-12-01T00:00:00
8179131;556858;Bravantice;;;9733;Bravantice;;и.p.;11;;;74281;485644.81;1108644.43;2013-12-01T00:00:00
8179140;556858;Bravantice;;;9733;Bravantice;;и.p.;12;;;74281;485619.55;1108584.69;2013-12-01T00:00:00
8179158;556858;Bravantice;;;9733;Bravantice;;и.p.;13;;;74281;485599.09;1108600.87;2013-12-01T00:00:00
8179166;556858;Bravantice;;;9733;Bravantice;;и.p.;14;;;74281;485603.75;1108541.89;2013-12-01T00:00:00
8179174;556858;Bravantice;;;9733;Bravantice;;и.p.;15;;;74281;485838.44;1108443.77;2013-12-01T00:00:00
8179182;556858;Bravantice;;;9733;Bravantice;;и.p.;16;;;74281;485571.05;1108513.00;2013-12-01T00:00:00
8179191;556858;Bravantice;;;9733;Bravantice;;и.p.;17;;;74281;485829.91;1108405.08;2013-12-01T00:00:00
8179204;556858;Bravantice;;;9733;Bravantice;;и.p.;18;;;74281;485557.96;1108381.73;2013-12-01T00:00:00
8179212;556858;Bravantice;;;9733;Bravantice;;и.p.;19;;;74281;485833.56;1108325.19;2013-12-01T00:00:00
