Kód ADM;Kód obce;Název obce;Název MOMC;Název MOP;Kód èásti obce;Název èásti obce;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
18562345;567833;Srbice;;;152935;Srbice;;è.p.;1;;;41501;772351.31;975717.77;2013-12-01T00:00:00
18562353;567833;Srbice;;;152935;Srbice;;è.p.;2;;;41501;772714.16;974371.83;2013-12-01T00:00:00
18562361;567833;Srbice;;;152935;Srbice;;è.p.;3;;;41501;772761.19;974473.06;2013-12-01T00:00:00
18562370;567833;Srbice;;;152935;Srbice;;è.p.;4;;;41501;772717.58;974542.63;2013-12-01T00:00:00
18562388;567833;Srbice;;;152935;Srbice;;è.p.;5;;;41501;772340.79;975875.85;2013-12-01T00:00:00
18562396;567833;Srbice;;;152935;Srbice;;è.p.;6;;;41501;772769.09;974399.79;2013-12-01T00:00:00
18562400;567833;Srbice;;;152935;Srbice;;è.p.;7;;;41501;772625.29;974483.78;2016-04-22T00:00:00
18562418;567833;Srbice;;;152935;Srbice;;è.p.;8;;;41501;772817.71;974502.34;2013-12-01T00:00:00
18562426;567833;Srbice;;;152935;Srbice;;è.p.;10;;;41501;772727.03;974403.23;2013-12-01T00:00:00
18562434;567833;Srbice;;;152935;Srbice;;è.p.;11;;;41501;772335.85;975845.18;2013-12-01T00:00:00
18562442;567833;Srbice;;;152935;Srbice;;è.p.;12;;;41501;772767.71;974475.52;2013-12-01T00:00:00
18562451;567833;Srbice;;;152935;Srbice;;è.p.;13;;;41501;772297.93;975792.58;2013-12-01T00:00:00
18562469;567833;Srbice;;;152935;Srbice;;è.p.;14;;;41501;772700.94;974748.02;2013-12-01T00:00:00
18562477;567833;Srbice;;;152935;Srbice;;è.p.;15;;;41501;772732.04;974667.69;2013-12-01T00:00:00
18562485;567833;Srbice;;;152935;Srbice;;è.p.;16;;;41501;772798.34;974470.17;2013-12-01T00:00:00
18562493;567833;Srbice;;;152935;Srbice;;è.p.;18;;;41501;772680.05;974433.62;2013-12-01T00:00:00
18562507;567833;Srbice;;;152935;Srbice;;è.p.;19;;;41501;772291.04;975747.25;2013-12-01T00:00:00
18562515;567833;Srbice;;;152935;Srbice;;è.p.;20;;;41501;772334.27;975836.06;2013-12-01T00:00:00
18562523;567833;Srbice;;;152935;Srbice;;è.p.;22;;;41501;772737.10;974349.43;2013-12-01T00:00:00
18562531;567833;Srbice;;;152935;Srbice;;è.p.;26;;;41501;772797.33;974579.38;2013-12-01T00:00:00
18562540;567833;Srbice;;;152935;Srbice;;è.p.;27;;;41501;772745.33;974388.65;2013-12-01T00:00:00
18562558;567833;Srbice;;;152935;Srbice;;è.p.;30;;;41501;772323.75;975760.61;2013-12-01T00:00:00
18562566;567833;Srbice;;;152935;Srbice;;è.p.;32;;;41501;772331.20;975802.36;2013-12-01T00:00:00
18562574;567833;Srbice;;;152935;Srbice;;è.p.;33;;;41501;772333.51;975822.58;2013-12-01T00:00:00
18562582;567833;Srbice;;;152935;Srbice;;è.p.;34;;;41501;772585.45;976017.74;2013-12-01T00:00:00
18562591;567833;Srbice;;;152935;Srbice;;è.p.;35;;;41501;772662.28;974424.68;2013-12-01T00:00:00
18562604;567833;Srbice;;;152935;Srbice;;è.p.;36;;;41501;773100.03;974565.56;2013-12-01T00:00:00
18562612;567833;Srbice;;;152935;Srbice;;è.p.;37;;;41501;772781.18;974404.77;2013-12-01T00:00:00
18562621;567833;Srbice;;;152935;Srbice;;è.p.;41;;;41501;772311.05;975884.33;2013-12-01T00:00:00
18562639;567833;Srbice;;;152935;Srbice;;è.p.;42;;;41501;772627.38;974386.94;2013-12-01T00:00:00
18562647;567833;Srbice;;;152935;Srbice;;è.p.;43;;;41501;772711.31;974410.20;2013-12-01T00:00:00
18562655;567833;Srbice;;;152935;Srbice;;è.p.;48;;;41501;772337.37;975659.11;2013-12-01T00:00:00
18562663;567833;Srbice;;;152935;Srbice;;è.p.;49;;;41501;772716.48;974449.46;2013-12-01T00:00:00
18562671;567833;Srbice;;;152935;Srbice;;è.p.;50;;;41501;772568.24;974437.01;2013-12-01T00:00:00
18562680;567833;Srbice;;;152935;Srbice;;è.p.;51;;;41501;772796.61;974571.51;2013-12-01T00:00:00
18562698;567833;Srbice;;;152935;Srbice;;è.p.;52;;;41501;772586.29;974428.12;2013-12-01T00:00:00
18562701;567833;Srbice;;;152935;Srbice;;è.p.;53;;;41501;772833.37;974574.05;2013-12-01T00:00:00
18562710;567833;Srbice;;;152935;Srbice;;è.p.;54;;;41501;772820.26;974565.63;2013-12-01T00:00:00
18562728;567833;Srbice;;;152935;Srbice;;è.p.;55;;;41501;772601.19;974419.30;2013-12-01T00:00:00
18562736;567833;Srbice;;;152935;Srbice;;è.p.;56;;;41501;772549.50;974445.89;2013-12-01T00:00:00
18562744;567833;Srbice;;;152935;Srbice;;è.p.;57;;;41501;772575.08;974433.73;2013-12-01T00:00:00
18562752;567833;Srbice;;;152935;Srbice;;è.p.;58;;;41501;772746.23;974466.71;2013-12-01T00:00:00
18562761;567833;Srbice;;;152935;Srbice;;è.p.;59;;;41501;772689.45;974387.17;2013-12-01T00:00:00
18562779;567833;Srbice;;;152935;Srbice;;è.p.;61;;;41501;772651.08;974418.70;2013-12-01T00:00:00
18562787;567833;Srbice;;;152935;Srbice;;è.p.;62;;;41501;772735.50;974408.18;2013-12-01T00:00:00
18562795;567833;Srbice;;;152935;Srbice;;è.p.;63;;;41501;772724.08;974423.68;2013-12-01T00:00:00
18562809;567833;Srbice;;;152935;Srbice;;è.p.;65;;;41501;772534.24;974452.62;2013-12-01T00:00:00
18562817;567833;Srbice;;;152935;Srbice;;è.p.;66;;;41501;772752.83;974619.70;2013-12-01T00:00:00
18562825;567833;Srbice;;;152935;Srbice;;è.p.;67;;;41501;772522.81;974457.80;2013-12-01T00:00:00
18562833;567833;Srbice;;;152935;Srbice;;è.p.;68;;;41501;772555.54;974441.84;2013-12-01T00:00:00
18562841;567833;Srbice;;;152935;Srbice;;è.p.;69;;;41501;772798.40;974603.15;2013-12-01T00:00:00
18562850;567833;Srbice;;;152935;Srbice;;è.p.;70;;;41501;772320.77;975934.68;2013-12-01T00:00:00
18562868;567833;Srbice;;;152935;Srbice;;è.p.;71;;;41501;772746.40;974635.22;2013-12-01T00:00:00
18562876;567833;Srbice;;;152935;Srbice;;è.p.;72;;;41501;772743.01;974644.29;2013-12-01T00:00:00
18562884;567833;Srbice;;;152935;Srbice;;è.p.;73;;;41501;772304.10;975670.55;2013-12-01T00:00:00
18562892;567833;Srbice;;;152935;Srbice;;è.p.;74;;;41501;772294.32;975670.28;2013-12-01T00:00:00
18562906;567833;Srbice;;;152935;Srbice;;è.p.;75;;;41501;772756.23;974610.99;2013-12-01T00:00:00
18562922;567833;Srbice;;;152935;Srbice;;è.p.;79;;;41501;772610.03;974412.36;2013-12-01T00:00:00
18562931;567833;Srbice;;;152935;Srbice;;è.p.;80;;;41501;772823.59;974602.34;2013-12-01T00:00:00
18562949;567833;Srbice;;;152935;Srbice;;è.p.;81;;;41501;772591.95;974457.75;2013-12-01T00:00:00
18562957;567833;Srbice;;;152935;Srbice;;è.p.;84;;;41501;772740.03;974464.09;2013-12-01T00:00:00
18562965;567833;Srbice;;;152935;Srbice;;è.p.;85;;;41501;772670.01;974706.24;2013-12-01T00:00:00
18562973;567833;Srbice;;;152935;Srbice;;è.p.;86;;;41501;772059.09;975994.71;2013-12-01T00:00:00
18562981;567833;Srbice;;;152935;Srbice;;è.p.;87;;;41501;772782.33;974580.03;2013-12-01T00:00:00
18562990;567833;Srbice;;;152935;Srbice;;è.p.;88;;;41501;772730.25;974383.52;2013-12-01T00:00:00
18563007;567833;Srbice;;;152935;Srbice;;è.p.;89;;;41501;772837.60;974448.04;2013-12-01T00:00:00
18563015;567833;Srbice;;;152935;Srbice;;è.p.;90;;;41501;772830.98;974463.45;2013-12-01T00:00:00
18563023;567833;Srbice;;;152935;Srbice;;è.p.;91;;;41501;772756.36;974420.28;2013-12-01T00:00:00
18563031;567833;Srbice;;;152935;Srbice;;è.p.;92;;;41501;772883.66;974470.34;2013-12-01T00:00:00
18563040;567833;Srbice;;;152935;Srbice;;è.p.;93;;;41501;772870.56;974496.72;2013-12-01T00:00:00
18563058;567833;Srbice;;;152935;Srbice;;è.p.;94;;;41501;772856.01;974590.29;2013-12-01T00:00:00
18563066;567833;Srbice;;;152935;Srbice;;è.p.;95;;;41501;772861.90;974596.29;2013-12-01T00:00:00
18563074;567833;Srbice;;;152935;Srbice;;è.p.;96;;;41501;773143.88;974622.50;2013-12-01T00:00:00
18563082;567833;Srbice;;;152935;Srbice;;è.p.;97;;;41501;772690.82;974822.39;2013-12-01T00:00:00
26279002;567833;Srbice;;;152935;Srbice;;è.p.;98;;;41501;772359.20;975931.13;2013-12-01T00:00:00
26424142;567833;Srbice;;;152935;Srbice;;è.p.;99;;;41501;772296.50;975856.83;2013-12-01T00:00:00
26442701;567833;Srbice;;;152935;Srbice;;è.p.;101;;;41501;772251.82;975686.93;2013-12-01T00:00:00
26574993;567833;Srbice;;;152935;Srbice;;è.p.;102;;;41501;772566.87;974478.41;2013-12-01T00:00:00
26585464;567833;Srbice;;;152935;Srbice;;è.p.;104;;;41501;772542.84;974487.14;2013-12-01T00:00:00
26913194;567833;Srbice;;;152935;Srbice;;è.p.;83;;;41501;772585.69;976030.47;2013-12-01T00:00:00
27240665;567833;Srbice;;;152935;Srbice;;è.p.;105;;;41501;772486.20;974579.95;2013-12-01T00:00:00
27255859;567833;Srbice;;;152935;Srbice;;è.p.;106;;;41501;772679.60;974504.27;2013-12-01T00:00:00
27366448;567833;Srbice;;;152935;Srbice;;è.p.;108;;;41501;772631.04;974574.01;2013-12-01T00:00:00
27412717;567833;Srbice;;;152935;Srbice;;è.p.;100;;;41501;772805.35;974423.05;2013-12-01T00:00:00
27446719;567833;Srbice;;;152935;Srbice;;è.ev.;69;;;41501;771933.54;975814.41;2013-12-01T00:00:00
27471764;567833;Srbice;;;152935;Srbice;;è.p.;107;;;41501;772660.50;974532.10;2013-12-01T00:00:00
27502449;567833;Srbice;;;152935;Srbice;;è.p.;109;;;41501;771557.12;975791.72;2013-12-01T00:00:00
27622959;567833;Srbice;;;152935;Srbice;;è.p.;110;;;41501;772530.95;974518.35;2013-12-01T00:00:00
