Kód ADM;Kód obce;Název obce;Název MOMC;Název MOP;Kód èásti obce;Název èásti obce;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
11593253;529559;Dobrovítov;;;192031;Dìdice;;è.p.;1;;;28601;684301.75;1084766.50;2013-12-01T00:00:00
11593261;529559;Dobrovítov;;;192031;Dìdice;;è.p.;2;;;28601;684334.38;1084806.75;2013-12-01T00:00:00
11593270;529559;Dobrovítov;;;192031;Dìdice;;è.p.;3;;;28601;684310.63;1084839.00;2013-12-01T00:00:00
11593288;529559;Dobrovítov;;;192031;Dìdice;;è.p.;4;;;28601;684333.00;1084892.13;2013-12-01T00:00:00
11593296;529559;Dobrovítov;;;192031;Dìdice;;è.p.;5;;;28601;684354.77;1084849.08;2013-12-01T00:00:00
11593300;529559;Dobrovítov;;;192031;Dìdice;;è.p.;6;;;28601;684422.75;1084833.00;2013-12-01T00:00:00
11593318;529559;Dobrovítov;;;192031;Dìdice;;è.p.;7;;;28601;684482.50;1084893.75;2013-12-01T00:00:00
11593326;529559;Dobrovítov;;;192031;Dìdice;;è.p.;8;;;28601;684439.94;1084808.63;2013-12-01T00:00:00
11593334;529559;Dobrovítov;;;192031;Dìdice;;è.p.;9;;;28601;684403.19;1084743.63;2013-12-01T00:00:00
11593342;529559;Dobrovítov;;;192031;Dìdice;;è.p.;10;;;28601;684435.56;1084754.25;2013-12-01T00:00:00
11593351;529559;Dobrovítov;;;192031;Dìdice;;è.p.;11;;;28601;684486.06;1084729.75;2013-12-01T00:00:00
11593369;529559;Dobrovítov;;;192031;Dìdice;;è.p.;12;;;28601;684384.56;1084841.88;2013-12-01T00:00:00
11593377;529559;Dobrovítov;;;192031;Dìdice;;è.p.;13;;;28601;684560.56;1084761.88;2013-12-01T00:00:00
11593385;529559;Dobrovítov;;;192031;Dìdice;;è.p.;14;;;28601;684565.94;1084801.88;2013-12-01T00:00:00
