Kód ADM;Kód obce;Název obce;Název MOMC;Název MOP;Kód èásti obce;Název èásti obce;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
8111863;570095;Vyšehoøí;;;188484;Vyšehoøí;;è.p.;1;;;78901;569861.13;1081405.35;2013-12-05T00:00:00
8111871;570095;Vyšehoøí;;;188484;Vyšehoøí;;è.p.;2;;;78901;;;2011-07-01T00:00:00
8111880;570095;Vyšehoøí;;;188484;Vyšehoøí;;è.p.;3;;;78901;569802.31;1081322.90;2013-12-05T00:00:00
8111898;570095;Vyšehoøí;;;188484;Vyšehoøí;;è.p.;4;;;78901;569866.96;1081307.21;2013-12-05T00:00:00
8111901;570095;Vyšehoøí;;;188484;Vyšehoøí;;è.p.;5;;;78901;;;2011-07-01T00:00:00
8111910;570095;Vyšehoøí;;;188484;Vyšehoøí;;è.p.;6;;;78901;569908.57;1081276.70;2013-12-05T00:00:00
8111928;570095;Vyšehoøí;;;188484;Vyšehoøí;;è.p.;7;;;78901;570012.62;1081241.93;2013-12-05T00:00:00
8111936;570095;Vyšehoøí;;;188484;Vyšehoøí;;è.p.;8;;;78901;569904.09;1081262.47;2016-11-01T00:00:00
8111952;570095;Vyšehoøí;;;188484;Vyšehoøí;;è.p.;10;;;78901;569930.70;1081247.55;2013-12-05T00:00:00
8111961;570095;Vyšehoøí;;;188484;Vyšehoøí;;è.p.;11;;;78901;570142.89;1081080.93;2013-12-05T00:00:00
8111979;570095;Vyšehoøí;;;188484;Vyšehoøí;;è.p.;12;;;78901;569903.03;1081226.13;2013-12-05T00:00:00
8111987;570095;Vyšehoøí;;;188484;Vyšehoøí;;è.p.;13;;;78901;569945.44;1081188.94;2013-12-05T00:00:00
8111995;570095;Vyšehoøí;;;188484;Vyšehoøí;;è.p.;14;;;78901;569898.39;1081190.80;2013-12-05T00:00:00
8112002;570095;Vyšehoøí;;;188484;Vyšehoøí;;è.p.;15;;;78901;569889.78;1081174.92;2013-12-05T00:00:00
8112011;570095;Vyšehoøí;;;188484;Vyšehoøí;;è.p.;16;;;78901;569941.40;1081131.17;2013-12-05T00:00:00
8112029;570095;Vyšehoøí;;;188484;Vyšehoøí;;è.p.;17;;;78901;569953.25;1081118.27;2013-12-05T00:00:00
8112037;570095;Vyšehoøí;;;188484;Vyšehoøí;;è.p.;18;;;78901;570008.23;1081140.22;2013-12-05T00:00:00
8112045;570095;Vyšehoøí;;;188484;Vyšehoøí;;è.p.;19;;;78901;;;2011-07-01T00:00:00
8112053;570095;Vyšehoøí;;;188484;Vyšehoøí;;è.p.;20;;;78901;570108.01;1081119.38;2013-12-05T00:00:00
8112061;570095;Vyšehoøí;;;188484;Vyšehoøí;;è.p.;21;;;78901;570080.16;1081138.08;2013-12-05T00:00:00
8112070;570095;Vyšehoøí;;;188484;Vyšehoøí;;è.p.;22;;;78901;;;2011-07-01T00:00:00
8112088;570095;Vyšehoøí;;;188484;Vyšehoøí;;è.p.;23;;;78901;570036.63;1081220.30;2013-12-05T00:00:00
8112096;570095;Vyšehoøí;;;188484;Vyšehoøí;;è.p.;24;;;78901;570087.78;1081072.42;2013-12-05T00:00:00
8112100;570095;Vyšehoøí;;;188484;Vyšehoøí;;è.p.;25;;;78901;569983.04;1081278.47;2013-12-05T00:00:00
8112118;570095;Vyšehoøí;;;188484;Vyšehoøí;;è.p.;26;;;78901;;;2011-07-01T00:00:00
