Kód ADM;Kód obce;Název obce;Název MOMC;Název MOP;Kód èásti obce;Název èásti obce;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
26990156;592935;Bøezina;;;14125;Bøezina;;è.p.;1;;;68201;570516.35;1144387.70;2016-02-11T00:00:00
26990164;592935;Bøezina;;;14125;Bøezina;;è.p.;2;;;68201;570188.15;1148459.78;2016-02-11T00:00:00
26990172;592935;Bøezina;;;14125;Bøezina;;è.p.;3;;;68201;570091.78;1150061.24;2016-02-11T00:00:00
26990181;592935;Bøezina;;;14125;Bøezina;;è.p.;7;;;68201;573933.84;1133374.92;2016-02-11T00:00:00
