Kód ADM;Kód obce;Název obce;Název MOMC;Název MOP;Kód èásti obce;Název èásti obce;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
7588763;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;1;;;53341;654598.07;1057976.75;2013-12-01T00:00:00
7588771;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;2;;;53341;654613.99;1057950.86;2013-12-01T00:00:00
7588780;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;3;;;53341;654648.96;1057935.25;2013-12-01T00:00:00
7588798;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;4;;;53341;654623.09;1057916.24;2013-12-01T00:00:00
7588801;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;5;;;53341;654648.91;1057895.40;2013-12-01T00:00:00
7588810;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;6;;;53341;654622.07;1057866.11;2013-12-01T00:00:00
7588828;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;7;;;53341;654571.39;1057881.73;2013-12-01T00:00:00
7588836;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;8;;;53341;654552.30;1057909.60;2013-12-01T00:00:00
7588844;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;9;;;53341;654588.96;1057890.82;2013-12-01T00:00:00
7588852;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;10;;;53341;654493.77;1057971.37;2013-12-01T00:00:00
7588879;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;12;;;53341;654432.78;1057905.16;2013-12-01T00:00:00
7588887;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;13;;;53341;654376.48;1057896.95;2013-12-01T00:00:00
7588895;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;14;;;53341;654341.76;1057966.85;2013-12-01T00:00:00
7588909;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;15;;;53341;654343.72;1057987.21;2013-12-01T00:00:00
7588917;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;16;;;53341;654337.82;1058006.94;2013-12-01T00:00:00
7588925;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;17;;;53341;654398.37;1058004.23;2013-12-01T00:00:00
7588933;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;18;;;53341;654331.65;1057678.06;2013-12-01T00:00:00
7588941;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;19;;;53341;654521.38;1057920.31;2013-12-01T00:00:00
7588950;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;20;;;53341;654318.12;1057749.02;2013-12-01T00:00:00
7588968;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;21;;;53341;654440.16;1057993.40;2013-12-01T00:00:00
7588984;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;23;;;53341;654666.55;1058039.32;2013-12-01T00:00:00
7588992;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;24;;;53341;654419.86;1057817.67;2013-12-01T00:00:00
7589000;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;25;;;53341;654663.92;1057865.24;2013-12-01T00:00:00
7589018;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;26;;;53341;654275.38;1057537.50;2013-12-01T00:00:00
7589026;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;27;;;53341;654343.01;1058032.80;2013-12-01T00:00:00
7589034;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;28;;;53341;654215.03;1057507.92;2013-12-01T00:00:00
7589042;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;29;;;53341;654323.91;1057734.99;2013-12-01T00:00:00
7589051;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;30;;;53341;654310.69;1057620.66;2013-12-01T00:00:00
7589069;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;31;;;53341;654350.97;1058054.30;2016-08-12T00:00:00
7589077;572896;Èerná u Bohdanèe;;;143847;Èerná u Bohdanèe;;è.p.;32;;;53341;654327.93;1058123.67;2013-12-01T00:00:00
