Kód ADM;Kód obce;Název obce;Název MOMC;Název MOP;Kód èásti obce;Název èásti obce;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
7032749;540561;Letkov;;;80624;Letkov;Náves;è.p.;1;;;32600;816730.96;1072420.21;2016-11-22T00:00:00
7032757;540561;Letkov;;;80624;Letkov;Náves;è.p.;2;;;32600;816702.28;1072431.09;2016-11-22T00:00:00
7032765;540561;Letkov;;;80624;Letkov;Ke Høišti;è.p.;3;;;32600;816563.11;1072482.55;2016-11-22T00:00:00
7032773;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;4;;;32600;816514.04;1072506.78;2016-11-22T00:00:00
7032781;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;5;;;32600;816586.78;1072508.45;2016-11-22T00:00:00
7032790;540561;Letkov;;;80624;Letkov;Ke Høišti;è.p.;6;;;32600;816555.25;1072510.00;2016-11-22T00:00:00
7032803;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;7;;;32600;816572.49;1072531.76;2016-11-22T00:00:00
7032811;540561;Letkov;;;80624;Letkov;Ke Høišti;è.p.;8;;;32600;816535.31;1072529.90;2016-11-22T00:00:00
7032820;540561;Letkov;;;80624;Letkov;Ke Høišti;è.p.;9;;;32600;816540.98;1072565.42;2016-11-22T00:00:00
7032838;540561;Letkov;;;80624;Letkov;Ke Høišti;è.p.;10;;;32600;816540.09;1072588.93;2016-11-22T00:00:00
7032846;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;11;;;32600;816657.51;1072572.53;2016-11-22T00:00:00
7032854;540561;Letkov;;;80624;Letkov;Staroplzenecká;è.p.;12;;;32600;816711.69;1072586.23;2016-11-22T00:00:00
7032862;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;14;;;32600;816452.38;1072580.00;2016-11-22T00:00:00
7032871;540561;Letkov;;;80624;Letkov;Náves;è.p.;15;;;32600;816714.44;1072554.57;2016-11-22T00:00:00
7032889;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;16;;;32600;816817.41;1072640.99;2016-11-22T00:00:00
7032897;540561;Letkov;;;80624;Letkov;Náves;è.p.;18;;;32600;816720.48;1072511.95;2016-11-22T00:00:00
7032901;540561;Letkov;;;80624;Letkov;Náves;è.p.;20;;;32600;816745.39;1072443.82;2016-11-22T00:00:00
7032919;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;21;;;32600;816456.27;1072544.91;2016-11-22T00:00:00
7032927;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;22;;;32600;816406.79;1072513.46;2016-11-22T00:00:00
7032935;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;24;;;32600;816756.36;1072585.26;2016-11-22T00:00:00
7032943;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;25;;;32600;816409.65;1072597.45;2016-11-22T00:00:00
7032951;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;26;;;32600;816474.83;1072545.73;2016-11-22T00:00:00
7032960;540561;Letkov;;;80624;Letkov;Ke Høišti;è.p.;27;;;32600;816570.93;1072553.88;2016-11-22T00:00:00
7032978;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;28;;;32600;816486.12;1072543.92;2016-11-22T00:00:00
7032986;540561;Letkov;;;80624;Letkov;Staroplzenecká;è.p.;29;;;32600;816692.87;1072686.66;2016-11-22T00:00:00
7032994;540561;Letkov;;;80624;Letkov;Oøechová;è.p.;30;;;32600;816374.23;1072633.97;2016-11-22T00:00:00
7033001;540561;Letkov;;;80624;Letkov;Staroplzenecká;è.p.;31;;;32600;816712.46;1072641.17;2016-11-22T00:00:00
7033010;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;32;;;32600;816793.39;1072624.74;2016-11-22T00:00:00
7033028;540561;Letkov;;;80624;Letkov;Staroplzenecká;è.p.;33;;;32600;816694.33;1072671.24;2016-11-22T00:00:00
7033036;540561;Letkov;;;80624;Letkov;Staroplzenecká;è.p.;34;;;32600;816715.66;1072633.64;2016-11-22T00:00:00
7033052;540561;Letkov;;;80624;Letkov;Staroplzenecká;è.p.;36;;;32600;816744.94;1072655.77;2016-11-22T00:00:00
7033061;540561;Letkov;;;80624;Letkov;Staroplzenecká;è.p.;37;;;32600;816747.44;1072679.58;2016-11-22T00:00:00
7033079;540561;Letkov;;;80624;Letkov;Staroplzenecká;è.p.;38;;;32600;816753.35;1072697.43;2016-11-22T00:00:00
7033087;540561;Letkov;;;80624;Letkov;Staroplzenecká;è.p.;39;;;32600;816715.72;1072706.29;2016-11-22T00:00:00
7033095;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;40;;;32600;816889.31;1072613.10;2016-11-22T00:00:00
7033109;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;41;;;32600;816483.92;1072495.33;2016-11-22T00:00:00
7033117;540561;Letkov;;;80624;Letkov;Náves;è.p.;42;;;32600;816718.79;1072435.48;2016-11-22T00:00:00
7033125;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;43;;;32600;816176.15;1072681.13;2016-11-22T00:00:00
7033133;540561;Letkov;;;80624;Letkov;Staroplzenecká;è.p.;44;;;32600;816752.08;1072718.56;2016-11-22T00:00:00
7033141;540561;Letkov;;;80624;Letkov;Staroplzenecká;è.p.;45;;;32600;816720.16;1072733.74;2016-11-22T00:00:00
7033150;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;46;;;32600;816460.01;1072502.23;2016-11-22T00:00:00
7033168;540561;Letkov;;;80624;Letkov;Staroplzenecká;è.p.;47;;;32600;816737.60;1072629.49;2016-11-22T00:00:00
7033176;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;48;;;32600;816423.34;1072506.74;2016-11-22T00:00:00
7033184;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;49;;;32600;816860.71;1072599.58;2016-11-22T00:00:00
7033192;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;50;;;32600;816728.45;1072569.25;2016-11-22T00:00:00
7033206;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;51;;;32600;816829.90;1072598.83;2016-11-22T00:00:00
7033214;540561;Letkov;;;80624;Letkov;Staroplzenecká;è.p.;52;;;32600;816738.74;1072645.94;2016-11-22T00:00:00
7033222;540561;Letkov;;;80624;Letkov;Ke Høišti;è.p.;53;;;32600;816587.32;1072494.58;2016-11-22T00:00:00
7033231;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;54;;;32600;816878.70;1072601.29;2016-11-22T00:00:00
7033249;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;55;;;32600;816189.14;1072667.66;2016-11-22T00:00:00
7033257;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;56;;;32600;816242.41;1072596.80;2016-11-22T00:00:00
7033265;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;57;;;32600;816210.87;1072655.50;2016-11-22T00:00:00
7033273;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;58;;;32600;816228.33;1072603.75;2016-11-22T00:00:00
7033281;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;59;;;32600;816137.85;1072701.00;2016-11-22T00:00:00
7033290;540561;Letkov;;;80624;Letkov;Náves;è.p.;60;;;32600;816663.08;1072518.30;2016-11-22T00:00:00
7033303;540561;Letkov;;;80624;Letkov;Jedlová;è.p.;61;;;32600;816253.89;1072718.75;2016-11-22T00:00:00
7033311;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;62;;;32600;816204.29;1072619.10;2016-11-22T00:00:00
7033320;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;63;;;32600;816089.97;1072718.23;2016-11-22T00:00:00
7033338;540561;Letkov;;;80624;Letkov;Modøínová;è.p.;64;;;32600;816115.83;1072698.48;2016-11-22T00:00:00
7033346;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;65;;;32600;816372.77;1072563.54;2016-11-22T00:00:00
7033354;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;66;;;32600;816271.78;1072611.25;2016-11-22T00:00:00
7033362;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;67;;;32600;816162.40;1072646.88;2016-11-22T00:00:00
7033371;540561;Letkov;;;80624;Letkov;Jedlová;è.p.;68;;;32600;816237.23;1072630.87;2016-11-22T00:00:00
7033389;540561;Letkov;;;80624;Letkov;Jedlová;è.p.;69;;;32600;816311.07;1072742.71;2016-11-22T00:00:00
7033397;540561;Letkov;;;80624;Letkov;Lísková;è.p.;70;;;32600;816176.75;1072555.86;2016-11-22T00:00:00
7033401;540561;Letkov;;;80624;Letkov;Náves;è.p.;71;;;32600;816668.55;1072507.23;2016-11-22T00:00:00
7033419;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;72;;;32600;816172.94;1072641.43;2016-11-22T00:00:00
7033427;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;73;;;32600;816021.78;1072749.46;2016-11-22T00:00:00
7033435;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;74;;;32600;816336.86;1072586.01;2016-11-22T00:00:00
7033443;540561;Letkov;;;80624;Letkov;Plzeòská;è.p.;75;;;32600;816353.89;1072572.96;2016-11-22T00:00:00
7033451;540561;Letkov;;;80624;Letkov;Oøechová;è.p.;76;;;32600;816290.96;1072678.39;2016-11-22T00:00:00
7033460;540561;Letkov;;;80624;Letkov;Habrová;è.p.;77;;;32600;816082.74;1072628.43;2016-11-22T00:00:00
