KÛd ADM;KÛd obce;N·zev obce;N·zev MOMC;N·zev MOP;KÛd Ë·sti obce;N·zev Ë·sti obce;N·zev ulice;Typ SO;»Ìslo domovnÌ;»Ìslo orientaËnÌ;Znak ËÌsla orientaËnÌho;PS»;Sou¯adnice Y;Sou¯adnice X;PlatÌ Od
17667496;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;21;;;38501;806426.75;1158057.56;2013-11-29T00:00:00
17667500;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;22;;;38501;806463.89;1158026.49;2013-11-29T00:00:00
17667518;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;23;;;38501;806706.22;1158281.51;2013-11-29T00:00:00
17667526;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;24;;;38501;806612.27;1157785.84;2013-11-29T00:00:00
17667534;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;25;;;38501;806650.97;1158180.09;2013-11-29T00:00:00
17667542;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;26;;;38501;806622.49;1158002.09;2013-11-29T00:00:00
17667551;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;27;;;38501;806758.67;1158837.45;2013-11-29T00:00:00
17667569;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;28;;;38501;806609.81;1158151.61;2013-11-29T00:00:00
17667577;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;29;;;38501;806473.35;1158167.09;2013-11-29T00:00:00
17667585;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;30;;;38501;806465.90;1158170.34;2013-11-29T00:00:00
17667593;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;31;;;38501;806459.71;1158173.08;2013-11-29T00:00:00
17667607;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;32;;;38501;806454.69;1158175.16;2013-11-29T00:00:00
17667615;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;33;;;38501;806448.96;1158177.76;2013-11-29T00:00:00
17667623;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;34;;;38501;806441.62;1158180.91;2013-11-29T00:00:00
17667631;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;35;;;38501;806466.88;1158100.94;2013-11-29T00:00:00
17667640;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;36;;;38501;806461.06;1158103.79;2013-11-29T00:00:00
17667658;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;37;;;38501;806455.31;1158106.55;2013-11-29T00:00:00
17667666;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;38;;;38501;806450.23;1158109.01;2013-11-29T00:00:00
17667682;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;40;;;38501;806444.58;1158111.80;2013-11-29T00:00:00
17667691;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;41;;;38501;806439.45;1158114.32;2013-11-29T00:00:00
17667704;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;42;;;38501;806684.30;1158268.18;2013-11-29T00:00:00
17667712;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;43;;;38501;806617.45;1158118.84;2013-11-29T00:00:00
17667721;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;44;;;38501;806598.36;1158230.24;2013-11-29T00:00:00
17667739;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;45;;;38501;806432.19;1158135.00;2013-11-29T00:00:00
17667747;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;46;;;38501;806633.06;1158088.00;2013-11-29T00:00:00
17667755;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.ev.;1;;;38501;806508.17;1158048.60;2013-11-29T00:00:00
25901273;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;51;;;38501;806718.05;1158258.19;2013-11-29T00:00:00
26618184;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;48;;;38501;806633.80;1158178.95;2013-11-29T00:00:00
26622343;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;52;;;38501;806689.54;1158230.70;2013-11-29T00:00:00
26835797;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;19;;;38501;806469.24;1158069.03;2013-11-29T00:00:00
27510654;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;47;;;38501;806487.08;1158222.16;2013-11-29T00:00:00
30752311;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;49;;;38501;806142.68;1158192.02;2013-11-29T00:00:00
30752329;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;50;;;38501;806577.00;1158203.00;2013-11-29T00:00:00
30752337;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.ev.;20;;;38501;806656.74;1158214.22;2013-11-29T00:00:00
31217630;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;55;;;38501;806547.00;1158248.00;2013-11-29T00:00:00
73236870;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;53;;;38501;806840.87;1158258.15;2014-12-01T00:00:00
73614459;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;59;;;38501;806629.87;1158124.03;2015-04-22T00:00:00
74744364;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;57;;;38501;806897.50;1158280.53;2016-03-21T00:00:00
74744551;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;54;;;38501;807025.46;1158364.56;2016-03-21T00:00:00
74744691;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;56;;;38501;806787.90;1158215.35;2016-03-21T00:00:00
75071479;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;58;;;38501;806634.55;1157878.69;2016-06-02T00:00:00
75254611;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;61;;;38501;806590.76;1158116.75;2016-08-08T00:00:00
