KÛd ADM;KÛd obce;N·zev obce;N·zev MOMC;N·zev MOP;KÛd Ë·sti obce;N·zev Ë·sti obce;N·zev ulice;Typ SO;»Ìslo domovnÌ;»Ìslo orientaËnÌ;Znak ËÌsla orientaËnÌho;PS»;Sou¯adnice Y;Sou¯adnice X;PlatÌ Od
17667305;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;1;;;38501;806576.02;1158177.72;2013-11-29T00:00:00
17667313;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;2;;;38501;806551.86;1158145.11;2013-11-29T00:00:00
17667321;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;3;;;38501;806556.29;1158061.95;2013-11-29T00:00:00
17667330;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;4;;;38501;806734.04;1158306.67;2013-11-29T00:00:00
17667348;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;5;;;38501;806739.76;1157925.53;2013-11-29T00:00:00
17667356;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;6;;;38501;806730.10;1157923.86;2013-11-29T00:00:00
17667364;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;7;;;38501;806414.26;1157969.83;2013-11-29T00:00:00
17667372;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;8;;;38501;806362.03;1158029.34;2013-11-29T00:00:00
17667381;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;9;;;38501;806643.95;1158244.56;2013-11-29T00:00:00
17667399;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;10;;;38501;806625.85;1157907.55;2013-11-29T00:00:00
17667402;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;11;;;38501;806695.24;1157918.20;2013-11-29T00:00:00
17667411;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;12;;;38501;806684.79;1157916.45;2013-11-29T00:00:00
17667429;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;13;;;38501;806662.92;1157511.86;2013-11-29T00:00:00
17667437;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;14;;;38501;806510.94;1158015.13;2013-11-29T00:00:00
17667445;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;15;;;38501;806539.83;1158001.80;2014-02-26T00:00:00
17667453;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;16;;;38501;806584.71;1157940.19;2013-11-29T00:00:00
17667461;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;17;;;38501;806593.01;1157968.40;2013-11-29T00:00:00
17667470;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;18;;;38501;806567.78;1157958.41;2013-11-29T00:00:00
17667488;563978;Kubova Huù;;;44601;Kubova Huù;;Ë.p.;20;;;38501;806932.11;1158328.00;2013-11-29T00:00:00
