Kód ADM;Kód obce;Název obce;Název MOMC;Název MOP;Kód èásti obce;Název èásti obce;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
18355871;539082;Zlonín;;;193348;Zlonín;;è.p.;1;;;25064;734623.52;1029361.07;2013-12-05T00:00:00
18355889;539082;Zlonín;;;193348;Zlonín;;è.p.;2;;;25064;734634.99;1029396.33;2013-12-05T00:00:00
18355897;539082;Zlonín;;;193348;Zlonín;;è.p.;3;;;25064;734664.84;1029442.19;2013-12-05T00:00:00
18355901;539082;Zlonín;;;193348;Zlonín;;è.p.;4;;;25064;734622.94;1029395.75;2013-12-05T00:00:00
18355919;539082;Zlonín;;;193348;Zlonín;;è.p.;5;;;25064;734714.20;1029461.84;2013-12-05T00:00:00
18355927;539082;Zlonín;;;193348;Zlonín;;è.p.;6;;;25064;734713.70;1029506.43;2013-12-05T00:00:00
18355935;539082;Zlonín;;;193348;Zlonín;;è.p.;7;;;25064;734688.65;1029497.84;2013-12-05T00:00:00
18355943;539082;Zlonín;;;193348;Zlonín;;è.p.;8;;;25064;734690.30;1029513.19;2013-12-05T00:00:00
18355951;539082;Zlonín;;;193348;Zlonín;;è.p.;10;;;25064;734718.71;1029585.54;2016-12-21T00:00:00
18355960;539082;Zlonín;;;193348;Zlonín;;è.p.;11;;;25064;734725.12;1029607.68;2013-12-05T00:00:00
18355978;539082;Zlonín;;;193348;Zlonín;;è.p.;12;;;25064;734746.57;1029627.30;2013-12-05T00:00:00
18355986;539082;Zlonín;;;193348;Zlonín;;è.p.;14;;;25064;734745.61;1029718.56;2013-12-05T00:00:00
18355994;539082;Zlonín;;;193348;Zlonín;;è.p.;16;;;25064;734729.74;1029685.07;2013-12-05T00:00:00
18356001;539082;Zlonín;;;193348;Zlonín;;è.p.;17;;;25064;734735.66;1029661.34;2013-12-05T00:00:00
18356010;539082;Zlonín;;;193348;Zlonín;;è.p.;19;;;25064;734717.94;1029651.98;2013-12-05T00:00:00
18356028;539082;Zlonín;;;193348;Zlonín;;è.p.;21;;;25064;;;2011-07-01T00:00:00
18356036;539082;Zlonín;;;193348;Zlonín;;è.p.;22;;;25064;734706.63;1029608.21;2013-12-05T00:00:00
18356044;539082;Zlonín;;;193348;Zlonín;;è.p.;23;;;25064;734639.84;1029590.42;2013-12-05T00:00:00
