Kód ADM;Kód obce;Název obce;Název MOMC;Název MOP;Kód èásti obce;Název èásti obce;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
18276971;537811;Sokoleè;;;152170;Sokoleè;U Samoobsluhy;è.p.;1;;;29001;694006.88;1048248.25;2013-12-04T00:00:00
18276989;537811;Sokoleè;;;152170;Sokoleè;Tøešòová;è.p.;2;;;29001;693994.31;1048298.63;2013-12-04T00:00:00
18276997;537811;Sokoleè;;;152170;Sokoleè;Tøešòová;è.p.;3;;;29001;693996.56;1048315.81;2013-12-04T00:00:00
18277004;537811;Sokoleè;;;152170;Sokoleè;Tøešòová;è.p.;4;;;29001;694000.56;1048337.56;2013-12-04T00:00:00
18277012;537811;Sokoleè;;;152170;Sokoleè;U Samoobsluhy;è.p.;5;;;29001;694042.94;1048317.00;2013-12-04T00:00:00
18277021;537811;Sokoleè;;;152170;Sokoleè;Podìbradská;è.p.;6;;;29001;694038.38;1048334.75;2013-12-04T00:00:00
18277039;537811;Sokoleè;;;152170;Sokoleè;Podìbradská;è.p.;7;;;29001;694052.13;1048392.56;2013-12-04T00:00:00
18277047;537811;Sokoleè;;;152170;Sokoleè;Podìbradská;è.p.;8;;;29001;694058.44;1048448.69;2013-12-04T00:00:00
18277055;537811;Sokoleè;;;152170;Sokoleè;Cerhenská;è.p.;9;;;29001;694086.50;1048554.06;2013-12-04T00:00:00
18277063;537811;Sokoleè;;;152170;Sokoleè;V Lípách;è.p.;10;;;29001;694057.31;1048574.69;2013-12-04T00:00:00
18277071;537811;Sokoleè;;;152170;Sokoleè;V Lípách;è.p.;11;;;29001;694063.56;1048610.75;2013-12-04T00:00:00
18277080;537811;Sokoleè;;;152170;Sokoleè;Kolínská;è.p.;12;;;29001;694045.81;1048518.00;2013-12-04T00:00:00
18277098;537811;Sokoleè;;;152170;Sokoleè;V Lípách;è.p.;13;;;29001;694030.94;1048593.63;2013-12-04T00:00:00
18277101;537811;Sokoleè;;;152170;Sokoleè;V Lípách;è.p.;14;;;29001;694000.00;1048597.00;2013-12-04T00:00:00
18277110;537811;Sokoleè;;;152170;Sokoleè;V Lípách;è.p.;15;;;29001;693970.25;1048606.75;2013-12-04T00:00:00
18277128;537811;Sokoleè;;;152170;Sokoleè;V Lípách;è.p.;16;;;29001;693965.63;1048631.38;2013-12-04T00:00:00
18277136;537811;Sokoleè;;;152170;Sokoleè;V Lípách;è.p.;17;;;29001;693943.31;1048642.25;2013-12-04T00:00:00
18277144;537811;Sokoleè;;;152170;Sokoleè;V Lípách;è.p.;18;;;29001;693910.13;1048646.25;2013-12-04T00:00:00
18277152;537811;Sokoleè;;;152170;Sokoleè;V Lípách;è.p.;19;;;29001;693890.63;1048653.75;2013-12-04T00:00:00
18277161;537811;Sokoleè;;;152170;Sokoleè;Kolínská;è.p.;20;;;29001;693855.69;1048650.25;2013-12-04T00:00:00
18277179;537811;Sokoleè;;;152170;Sokoleè;V Lípách;è.p.;21;;;29001;693911.81;1048680.63;2013-12-04T00:00:00
18277187;537811;Sokoleè;;;152170;Sokoleè;V Lípách;è.p.;22;;;29001;693926.69;1048703.00;2013-12-04T00:00:00
18277195;537811;Sokoleè;;;152170;Sokoleè;V Lípách;è.p.;23;;;29001;693881.50;1048773.38;2013-12-04T00:00:00
