Kуd ADM;Kуd obce;Nбzev obce;Nбzev MOMC;Nбzev MOP;Kуd ибsti obce;Nбzev ибsti obce;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
13590715;586706;Vacenovice;;;175935;Vacenovice;;и.p.;2;;;69606;559691.39;1191857.12;2013-12-03T00:00:00
13590723;586706;Vacenovice;;;175935;Vacenovice;;и.p.;3;;;69606;559697.97;1191868.33;2013-12-03T00:00:00
13590731;586706;Vacenovice;;;175935;Vacenovice;;и.p.;4;;;69606;559703.25;1191879.45;2013-12-03T00:00:00
13590740;586706;Vacenovice;;;175935;Vacenovice;;и.p.;5;;;69606;559708.89;1191890.27;2013-12-03T00:00:00
13590766;586706;Vacenovice;;;175935;Vacenovice;;и.p.;7;;;69606;559717.20;1191914.78;2013-12-03T00:00:00
13590782;586706;Vacenovice;;;175935;Vacenovice;;и.p.;9;;;69606;559729.14;1191936.34;2013-12-03T00:00:00
13590791;586706;Vacenovice;;;175935;Vacenovice;;и.p.;10;;;69606;559732.71;1191946.50;2013-12-03T00:00:00
13590804;586706;Vacenovice;;;175935;Vacenovice;;и.p.;11;;;69606;559744.13;1191959.85;2013-12-03T00:00:00
13590812;586706;Vacenovice;;;175935;Vacenovice;;и.p.;12;;;69606;559750.66;1191975.31;2013-12-03T00:00:00
13590821;586706;Vacenovice;;;175935;Vacenovice;;и.p.;13;;;69606;559756.01;1191984.40;2013-12-03T00:00:00
13590839;586706;Vacenovice;;;175935;Vacenovice;;и.p.;14;;;69606;559764.19;1191997.87;2013-12-03T00:00:00
13590847;586706;Vacenovice;;;175935;Vacenovice;;и.p.;15;;;69606;559582.16;1193237.13;2013-12-03T00:00:00
13590855;586706;Vacenovice;;;175935;Vacenovice;;и.p.;16;;;69606;559783.66;1192038.18;2013-12-03T00:00:00
13590863;586706;Vacenovice;;;175935;Vacenovice;;и.p.;17;;;69606;559789.50;1192054.76;2013-12-03T00:00:00
13590871;586706;Vacenovice;;;175935;Vacenovice;;и.p.;18;;;69606;559795.29;1192071.48;2013-12-03T00:00:00
13590880;586706;Vacenovice;;;175935;Vacenovice;;и.p.;19;;;69606;559801.29;1192121.25;2013-12-03T00:00:00
13590898;586706;Vacenovice;;;175935;Vacenovice;;и.p.;20;;;69606;559800.86;1192150.85;2013-12-03T00:00:00
13590901;586706;Vacenovice;;;175935;Vacenovice;;и.p.;21;;;69606;559804.99;1192164.84;2013-12-03T00:00:00
13590910;586706;Vacenovice;;;175935;Vacenovice;;и.p.;22;;;69606;559809.14;1192205.82;2013-12-03T00:00:00
13590928;586706;Vacenovice;;;175935;Vacenovice;;и.p.;23;;;69606;559810.71;1192225.50;2013-12-03T00:00:00
13590936;586706;Vacenovice;;;175935;Vacenovice;;и.p.;24;;;69606;559813.53;1192252.28;2013-12-03T00:00:00
13590944;586706;Vacenovice;;;175935;Vacenovice;;и.p.;25;;;69606;559814.97;1192282.38;2013-12-03T00:00:00
13590952;586706;Vacenovice;;;175935;Vacenovice;;и.p.;26;;;69606;559817.40;1192322.37;2013-12-03T00:00:00
13590961;586706;Vacenovice;;;175935;Vacenovice;;и.p.;27;;;69606;559822.64;1192339.38;2013-12-03T00:00:00
13590979;586706;Vacenovice;;;175935;Vacenovice;;и.p.;28;;;69606;559825.17;1192357.56;2013-12-03T00:00:00
13590987;586706;Vacenovice;;;175935;Vacenovice;;и.p.;29;;;69606;559829.84;1192385.68;2013-12-03T00:00:00
13591002;586706;Vacenovice;;;175935;Vacenovice;;и.p.;31;;;69606;559843.94;1192431.38;2013-12-03T00:00:00
13591011;586706;Vacenovice;;;175935;Vacenovice;;и.p.;32;;;69606;559851.97;1192458.10;2013-12-03T00:00:00
13591029;586706;Vacenovice;;;175935;Vacenovice;;и.p.;33;;;69606;559859.51;1192482.90;2013-12-03T00:00:00
13591037;586706;Vacenovice;;;175935;Vacenovice;;и.p.;34;;;69606;559864.24;1192498.21;2013-12-03T00:00:00
13591045;586706;Vacenovice;;;175935;Vacenovice;;и.p.;35;;;69606;559868.46;1192518.23;2013-12-03T00:00:00
13591053;586706;Vacenovice;;;175935;Vacenovice;;и.p.;36;;;69606;559872.46;1192536.64;2013-12-03T00:00:00
13591061;586706;Vacenovice;;;175935;Vacenovice;;и.p.;37;;;69606;559878.40;1192558.94;2013-12-03T00:00:00
13591070;586706;Vacenovice;;;175935;Vacenovice;;и.p.;38;;;69606;559883.23;1192580.01;2013-12-03T00:00:00
13591088;586706;Vacenovice;;;175935;Vacenovice;;и.p.;39;;;69606;559887.70;1192640.32;2013-12-03T00:00:00
13591100;586706;Vacenovice;;;175935;Vacenovice;;и.p.;41;;;69606;559911.87;1192604.54;2013-12-03T00:00:00
13591118;586706;Vacenovice;;;175935;Vacenovice;;и.p.;43;;;69606;559928.70;1192556.62;2013-12-03T00:00:00
13591126;586706;Vacenovice;;;175935;Vacenovice;;и.p.;44;;;69606;559903.48;1192544.04;2013-12-03T00:00:00
13591134;586706;Vacenovice;;;175935;Vacenovice;;и.p.;45;;;69606;559900.23;1192529.07;2013-12-03T00:00:00
13591142;586706;Vacenovice;;;175935;Vacenovice;;и.p.;46;;;69606;559892.08;1192498.24;2013-12-03T00:00:00
13591151;586706;Vacenovice;;;175935;Vacenovice;;и.p.;47;;;69606;559881.66;1192454.26;2013-12-03T00:00:00
13591169;586706;Vacenovice;;;175935;Vacenovice;;и.p.;48;;;69606;559875.83;1192425.87;2013-12-03T00:00:00
13591185;586706;Vacenovice;;;175935;Vacenovice;;и.p.;50;;;69606;559862.50;1192376.80;2013-12-03T00:00:00
13591193;586706;Vacenovice;;;175935;Vacenovice;;и.p.;51;;;69606;559856.78;1192352.24;2013-12-03T00:00:00
13591207;586706;Vacenovice;;;175935;Vacenovice;;и.p.;52;;;69606;559854.08;1192339.28;2013-12-03T00:00:00
13591215;586706;Vacenovice;;;175935;Vacenovice;;и.p.;53;;;69606;559849.72;1192310.14;2013-12-03T00:00:00
13591223;586706;Vacenovice;;;175935;Vacenovice;;и.p.;54;;;69606;559844.87;1192283.69;2013-12-03T00:00:00
13591231;586706;Vacenovice;;;175935;Vacenovice;;и.p.;55;;;69606;559840.31;1192252.24;2013-12-03T00:00:00
13591240;586706;Vacenovice;;;175935;Vacenovice;;и.p.;56;;;69606;559838.87;1192231.15;2013-12-03T00:00:00
13591258;586706;Vacenovice;;;175935;Vacenovice;;и.p.;57;;;69606;559836.27;1192211.12;2013-12-03T00:00:00
13591266;586706;Vacenovice;;;175935;Vacenovice;;и.p.;58;;;69606;559834.69;1192185.59;2013-12-03T00:00:00
13591274;586706;Vacenovice;;;175935;Vacenovice;;и.p.;59;;;69606;559831.55;1192165.00;2013-12-03T00:00:00
13591282;586706;Vacenovice;;;175935;Vacenovice;;и.p.;60;;;69606;559828.68;1192138.27;2013-12-03T00:00:00
13591291;586706;Vacenovice;;;175935;Vacenovice;;и.p.;61;;;69606;559825.91;1192118.29;2013-12-03T00:00:00
13591304;586706;Vacenovice;;;175935;Vacenovice;;и.p.;62;;;69606;559822.61;1192082.06;2013-12-03T00:00:00
13591312;586706;Vacenovice;;;175935;Vacenovice;;и.p.;63;;;69606;559809.87;1192044.20;2013-12-03T00:00:00
13591321;586706;Vacenovice;;;175935;Vacenovice;;и.p.;64;;;69606;559793.27;1192009.82;2013-12-03T00:00:00
13591339;586706;Vacenovice;;;175935;Vacenovice;;и.p.;65;;;69606;559778.69;1191978.54;2013-12-03T00:00:00
13591347;586706;Vacenovice;;;175935;Vacenovice;;и.p.;66;;;69606;559815.13;1192056.85;2013-12-03T00:00:00
13591363;586706;Vacenovice;;;175935;Vacenovice;;и.p.;68;;;69606;559751.44;1191915.58;2013-12-03T00:00:00
13591371;586706;Vacenovice;;;175935;Vacenovice;;и.p.;69;;;69606;559817.26;1192295.80;2013-12-03T00:00:00
13591380;586706;Vacenovice;;;175935;Vacenovice;;и.p.;70;;;69606;558496.64;1195110.82;2013-12-03T00:00:00
13591398;586706;Vacenovice;;;175935;Vacenovice;;и.p.;71;;;69606;559811.76;1192239.13;2013-12-03T00:00:00
13591401;586706;Vacenovice;;;175935;Vacenovice;;и.p.;72;;;69606;559735.46;1191877.96;2013-12-03T00:00:00
13591410;586706;Vacenovice;;;175935;Vacenovice;;и.p.;73;;;69606;559773.31;1192017.61;2013-12-03T00:00:00
13591428;586706;Vacenovice;;;175935;Vacenovice;;и.p.;74;;;69606;559734.07;1191861.60;2013-12-03T00:00:00
13591436;586706;Vacenovice;;;175935;Vacenovice;;и.p.;75;;;69606;559735.01;1191850.97;2013-12-03T00:00:00
13591444;586706;Vacenovice;;;175935;Vacenovice;;и.p.;76;;;69606;559735.05;1191839.75;2013-12-03T00:00:00
13591452;586706;Vacenovice;;;175935;Vacenovice;;и.p.;77;;;69606;559802.08;1192134.85;2013-12-03T00:00:00
13591461;586706;Vacenovice;;;175935;Vacenovice;;и.p.;78;;;69606;559736.85;1191827.28;2013-12-03T00:00:00
13591479;586706;Vacenovice;;;175935;Vacenovice;;и.p.;79;;;69606;559674.47;1191788.11;2013-12-03T00:00:00
13591487;586706;Vacenovice;;;175935;Vacenovice;;и.p.;80;;;69606;559750.61;1191786.26;2013-12-03T00:00:00
13591495;586706;Vacenovice;;;175935;Vacenovice;;и.p.;81;;;69606;559644.57;1191619.57;2013-12-03T00:00:00
13591509;586706;Vacenovice;;;175935;Vacenovice;;и.p.;84;;;69606;559670.46;1191775.81;2013-12-03T00:00:00
13591517;586706;Vacenovice;;;175935;Vacenovice;;и.p.;85;;;69606;559743.71;1191814.86;2013-12-03T00:00:00
13591525;586706;Vacenovice;;;175935;Vacenovice;;и.p.;86;;;69606;559744.67;1191800.25;2013-12-03T00:00:00
13591533;586706;Vacenovice;;;175935;Vacenovice;;и.p.;87;;;69606;;;2011-07-01T00:00:00
13591541;586706;Vacenovice;;;175935;Vacenovice;;и.p.;88;;;69606;559682.59;1191825.10;2013-12-03T00:00:00
13591550;586706;Vacenovice;;;175935;Vacenovice;;и.p.;89;;;69606;559898.46;1192653.69;2013-12-03T00:00:00
13591568;586706;Vacenovice;;;175935;Vacenovice;;и.p.;90;;;69606;559901.20;1192667.85;2013-12-03T00:00:00
13591576;586706;Vacenovice;;;175935;Vacenovice;;и.p.;91;;;69606;559902.96;1192725.51;2013-12-03T00:00:00
13591584;586706;Vacenovice;;;175935;Vacenovice;;и.p.;92;;;69606;559912.96;1192739.38;2013-12-03T00:00:00
13591592;586706;Vacenovice;;;175935;Vacenovice;;и.p.;93;;;69606;559925.48;1192761.59;2013-12-03T00:00:00
13591606;586706;Vacenovice;;;175935;Vacenovice;;и.p.;94;;;69606;559933.75;1192777.27;2013-12-03T00:00:00
13591614;586706;Vacenovice;;;175935;Vacenovice;;и.p.;95;;;69606;559947.18;1192799.70;2013-12-03T00:00:00
13591622;586706;Vacenovice;;;175935;Vacenovice;;и.p.;96;;;69606;559959.42;1192818.99;2013-12-03T00:00:00
13591631;586706;Vacenovice;;;175935;Vacenovice;;и.p.;98;;;69606;559917.00;1193046.00;2013-12-03T00:00:00
13591649;586706;Vacenovice;;;175935;Vacenovice;;и.p.;99;;;69606;559976.82;1192802.66;2013-12-03T00:00:00
13591657;586706;Vacenovice;;;175935;Vacenovice;;и.p.;100;;;69606;559963.99;1192785.97;2013-12-03T00:00:00
13591665;586706;Vacenovice;;;175935;Vacenovice;;и.p.;101;;;69606;559953.45;1192766.64;2013-12-03T00:00:00
13591681;586706;Vacenovice;;;175935;Vacenovice;;и.p.;103;;;69606;559941.07;1192728.17;2013-12-03T00:00:00
13591690;586706;Vacenovice;;;175935;Vacenovice;;и.p.;104;;;69606;559934.21;1192709.94;2013-12-03T00:00:00
13591703;586706;Vacenovice;;;175935;Vacenovice;;и.p.;105;;;69606;559981.06;1192679.45;2013-12-03T00:00:00
13591711;586706;Vacenovice;;;175935;Vacenovice;;и.p.;106;;;69606;559951.28;1192672.49;2013-12-03T00:00:00
13591720;586706;Vacenovice;;;175935;Vacenovice;;и.p.;107;;;69606;559900.64;1192691.78;2013-12-03T00:00:00
13591738;586706;Vacenovice;;;175935;Vacenovice;;и.p.;108;;;69606;559881.78;1192696.16;2013-12-03T00:00:00
13591754;586706;Vacenovice;;;175935;Vacenovice;;и.p.;110;;;69606;559852.26;1192701.48;2013-12-03T00:00:00
13591762;586706;Vacenovice;;;175935;Vacenovice;;и.p.;111;;;69606;559801.72;1192700.50;2013-12-03T00:00:00
13591771;586706;Vacenovice;;;175935;Vacenovice;;и.p.;112;;;69606;559784.01;1192697.44;2013-12-03T00:00:00
13591789;586706;Vacenovice;;;175935;Vacenovice;;и.p.;113;;;69606;559767.78;1192694.78;2013-12-03T00:00:00
13591797;586706;Vacenovice;;;175935;Vacenovice;;и.p.;114;;;69606;559752.32;1192692.90;2013-12-03T00:00:00
13591819;586706;Vacenovice;;;175935;Vacenovice;;и.p.;116;;;69606;559718.69;1192687.87;2013-12-03T00:00:00
13591835;586706;Vacenovice;;;175935;Vacenovice;;и.p.;118;;;69606;559689.59;1192675.02;2013-12-03T00:00:00
13591843;586706;Vacenovice;;;175935;Vacenovice;;и.p.;119;;;69606;559676.66;1192668.21;2013-12-03T00:00:00
13591851;586706;Vacenovice;;;175935;Vacenovice;;и.p.;120;;;69606;559851.43;1192727.04;2013-12-03T00:00:00
13591860;586706;Vacenovice;;;175935;Vacenovice;;и.p.;121;;;69606;559810.37;1192743.01;2013-12-03T00:00:00
13591878;586706;Vacenovice;;;175935;Vacenovice;;и.p.;122;;;69606;560049.40;1192496.71;2013-12-03T00:00:00
13591886;586706;Vacenovice;;;175935;Vacenovice;;и.p.;123;;;69606;559785.74;1192752.06;2013-12-03T00:00:00
13591894;586706;Vacenovice;;;175935;Vacenovice;;и.p.;124;;;69606;559777.92;1192756.30;2013-12-03T00:00:00
13591908;586706;Vacenovice;;;175935;Vacenovice;;и.p.;125;;;69606;559758.19;1192763.22;2013-12-03T00:00:00
13591924;586706;Vacenovice;;;175935;Vacenovice;;и.p.;127;;;69606;559734.45;1192767.57;2013-12-03T00:00:00
13591932;586706;Vacenovice;;;175935;Vacenovice;;и.p.;128;;;69606;559714.13;1192778.50;2013-12-03T00:00:00
13591941;586706;Vacenovice;;;175935;Vacenovice;;и.p.;129;;;69606;559702.76;1192780.54;2013-12-03T00:00:00
13591959;586706;Vacenovice;;;175935;Vacenovice;;и.p.;130;;;69606;559691.06;1192785.37;2013-12-03T00:00:00
13591967;586706;Vacenovice;;;175935;Vacenovice;;и.p.;131;;;69606;559673.30;1192792.34;2013-12-03T00:00:00
13591975;586706;Vacenovice;;;175935;Vacenovice;;и.p.;132;;;69606;559657.58;1192798.95;2013-12-03T00:00:00
13591983;586706;Vacenovice;;;175935;Vacenovice;;и.p.;134;;;69606;559641.29;1192807.33;2013-12-03T00:00:00
13591991;586706;Vacenovice;;;175935;Vacenovice;;и.p.;135;;;69606;559626.26;1192813.87;2013-12-03T00:00:00
13592009;586706;Vacenovice;;;175935;Vacenovice;;и.p.;136;;;69606;559609.64;1192823.07;2013-12-03T00:00:00
13592017;586706;Vacenovice;;;175935;Vacenovice;;и.p.;137;;;69606;559593.88;1192831.04;2013-12-03T00:00:00
13592025;586706;Vacenovice;;;175935;Vacenovice;;и.p.;138;;;69606;559582.90;1192835.70;2013-12-03T00:00:00
13592033;586706;Vacenovice;;;175935;Vacenovice;;и.p.;139;;;69606;559568.91;1192845.59;2013-12-03T00:00:00
13592041;586706;Vacenovice;;;175935;Vacenovice;;и.p.;140;;;69606;559557.95;1192852.93;2013-12-03T00:00:00
13592050;586706;Vacenovice;;;175935;Vacenovice;;и.p.;141;;;69606;559545.26;1192863.45;2013-12-03T00:00:00
13592068;586706;Vacenovice;;;175935;Vacenovice;;и.p.;142;;;69606;559531.86;1192867.18;2013-12-03T00:00:00
13592076;586706;Vacenovice;;;175935;Vacenovice;;и.p.;143;;;69606;559517.28;1192877.19;2013-12-03T00:00:00
13592084;586706;Vacenovice;;;175935;Vacenovice;;и.p.;144;;;69606;559490.61;1192893.02;2013-12-03T00:00:00
13592092;586706;Vacenovice;;;175935;Vacenovice;;и.p.;145;;;69606;559523.18;1192924.67;2013-12-03T00:00:00
13592106;586706;Vacenovice;;;175935;Vacenovice;;и.p.;147;;;69606;559557.55;1192917.42;2013-12-03T00:00:00
13592114;586706;Vacenovice;;;175935;Vacenovice;;и.p.;148;;;69606;559558.70;1192891.74;2013-12-03T00:00:00
13592122;586706;Vacenovice;;;175935;Vacenovice;;и.p.;149;;;69606;559587.96;1192911.39;2013-12-03T00:00:00
