Kód ADM;Kód obce;Název obce;Název MOMC;Název MOP;Kód èásti obce;Název èásti obce;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
2476720;533823;Veletov;;;177920;Veletov;;è.p.;1;;;28002;680822.63;1057896.00;2013-12-01T00:00:00
2476738;533823;Veletov;;;177920;Veletov;;è.p.;2;;;28002;680852.38;1057875.38;2013-12-01T00:00:00
2476746;533823;Veletov;;;177920;Veletov;;è.p.;3;;;28002;680866.94;1057868.63;2013-12-01T00:00:00
2476754;533823;Veletov;;;177920;Veletov;;è.p.;4;;;28002;680869.63;1057858.38;2013-12-01T00:00:00
2476762;533823;Veletov;;;177920;Veletov;;è.p.;5;;;28002;680894.25;1057839.25;2013-12-01T00:00:00
2476771;533823;Veletov;;;177920;Veletov;;è.p.;6;;;28002;680975.19;1057805.63;2013-12-01T00:00:00
2476789;533823;Veletov;;;177920;Veletov;;è.p.;7;;;28002;680996.06;1057796.38;2013-12-01T00:00:00
2476797;533823;Veletov;;;177920;Veletov;;è.p.;8;;;28002;681042.44;1057771.75;2013-12-01T00:00:00
2476801;533823;Veletov;;;177920;Veletov;;è.p.;9;;;28002;680840.75;1057519.00;2013-12-01T00:00:00
2476819;533823;Veletov;;;177920;Veletov;;è.p.;10;;;28002;681075.81;1057764.38;2013-12-01T00:00:00
2476827;533823;Veletov;;;177920;Veletov;;è.p.;11;;;28002;681083.94;1057753.00;2013-12-01T00:00:00
2476835;533823;Veletov;;;177920;Veletov;;è.p.;12;;;28002;681101.31;1057748.88;2013-12-01T00:00:00
2476843;533823;Veletov;;;177920;Veletov;;è.p.;13;;;28002;681116.00;1057723.13;2013-12-01T00:00:00
2476851;533823;Veletov;;;177920;Veletov;;è.p.;14;;;28002;681153.38;1057732.88;2013-12-01T00:00:00
2476860;533823;Veletov;;;177920;Veletov;;è.p.;15;;;28002;681087.19;1058200.50;2013-12-01T00:00:00
2476878;533823;Veletov;;;177920;Veletov;;è.p.;16;;;28002;681188.94;1057712.00;2013-12-01T00:00:00
2476886;533823;Veletov;;;177920;Veletov;;è.p.;17;;;28002;681188.94;1057699.00;2013-12-01T00:00:00
2476894;533823;Veletov;;;177920;Veletov;;è.p.;18;;;28002;681117.31;1058161.25;2013-12-01T00:00:00
2476908;533823;Veletov;;;177920;Veletov;;è.p.;19;;;28002;681167.39;1057688.89;2013-12-01T00:00:00
2476916;533823;Veletov;;;177920;Veletov;;è.p.;20;;;28002;681172.69;1057649.38;2013-12-01T00:00:00
2476924;533823;Veletov;;;177920;Veletov;;è.p.;21;;;28002;681048.44;1057732.38;2013-12-01T00:00:00
2476932;533823;Veletov;;;177920;Veletov;;è.p.;22;;;28002;681095.38;1057710.38;2013-12-01T00:00:00
2476941;533823;Veletov;;;177920;Veletov;;è.p.;23;;;28002;681071.75;1057718.75;2013-12-01T00:00:00
2476959;533823;Veletov;;;177920;Veletov;;è.p.;24;;;28002;681014.00;1057750.88;2013-12-01T00:00:00
2476967;533823;Veletov;;;177920;Veletov;;è.p.;25;;;28002;680990.63;1057756.75;2013-12-01T00:00:00
2476975;533823;Veletov;;;177920;Veletov;;è.p.;26;;;28002;680971.69;1057756.75;2013-12-01T00:00:00
2476983;533823;Veletov;;;177920;Veletov;;è.p.;27;;;28002;680932.31;1057686.50;2013-12-01T00:00:00
2476991;533823;Veletov;;;177920;Veletov;;è.p.;28;;;28002;680928.06;1057661.00;2013-12-01T00:00:00
2477009;533823;Veletov;;;177920;Veletov;;è.p.;29;;;28002;680863.69;1057652.50;2013-12-01T00:00:00
2477017;533823;Veletov;;;177920;Veletov;;è.p.;30;;;28002;680884.50;1057670.63;2013-12-01T00:00:00
2477025;533823;Veletov;;;177920;Veletov;;è.p.;31;;;28002;681127.38;1058178.25;2013-12-01T00:00:00
2477033;533823;Veletov;;;177920;Veletov;;è.p.;32;;;28002;681138.50;1058230.13;2013-12-01T00:00:00
2477041;533823;Veletov;;;177920;Veletov;;è.p.;33;;;28002;680897.13;1057716.13;2013-12-01T00:00:00
2477050;533823;Veletov;;;177920;Veletov;;è.p.;34;;;28002;681116.25;1058292.25;2013-12-01T00:00:00
2477068;533823;Veletov;;;177920;Veletov;;è.p.;35;;;28002;680883.69;1057733.50;2013-12-01T00:00:00
2477076;533823;Veletov;;;177920;Veletov;;è.p.;36;;;28002;680882.06;1057634.88;2013-12-01T00:00:00
2477084;533823;Veletov;;;177920;Veletov;;è.p.;37;;;28002;680913.94;1057801.13;2013-12-01T00:00:00
2477092;533823;Veletov;;;177920;Veletov;;è.p.;38;;;28002;680841.00;1057813.00;2013-12-01T00:00:00
2477106;533823;Veletov;;;177920;Veletov;;è.p.;39;;;28002;680580.81;1058241.75;2013-12-01T00:00:00
2477114;533823;Veletov;;;177920;Veletov;;è.p.;40;;;28002;680807.50;1057828.38;2013-12-01T00:00:00
2477122;533823;Veletov;;;177920;Veletov;;è.p.;41;;;28002;680804.00;1057862.38;2013-12-01T00:00:00
2477131;533823;Veletov;;;177920;Veletov;;è.p.;42;;;28002;680818.31;1057870.00;2013-12-01T00:00:00
2477149;533823;Veletov;;;177920;Veletov;;è.p.;43;;;28002;680419.25;1057927.50;2013-12-01T00:00:00
2477157;533823;Veletov;;;177920;Veletov;;è.p.;44;;;28002;681083.69;1058246.88;2013-12-01T00:00:00
