Kуd ADM;Kуd obce;Nбzev obce;Nбzev MOMC;Nбzev MOP;Kуd ибsti obce;Nбzev ибsti obce;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
2751399;590312;Biskupice-Pulkov;;;4812;Biskupice;;и.p.;1;;;67557;643518.31;1173262.25;2013-12-05T00:00:00
2751402;590312;Biskupice-Pulkov;;;4812;Biskupice;;и.p.;2;;;67557;643614.44;1173098.25;2013-12-05T00:00:00
2751411;590312;Biskupice-Pulkov;;;4812;Biskupice;;и.p.;3;;;67557;643661.38;1173070.50;2013-12-05T00:00:00
2751429;590312;Biskupice-Pulkov;;;4812;Biskupice;;и.p.;4;;;67557;643529.06;1173218.63;2013-12-05T00:00:00
2751437;590312;Biskupice-Pulkov;;;4812;Biskupice;;и.p.;5;;;67557;643535.94;1173133.13;2013-12-05T00:00:00
2751445;590312;Biskupice-Pulkov;;;4812;Biskupice;;и.p.;6;;;67557;643445.44;1173185.00;2013-12-05T00:00:00
2751453;590312;Biskupice-Pulkov;;;4812;Biskupice;;и.p.;7;;;67557;643423.63;1173160.50;2013-12-05T00:00:00
2751461;590312;Biskupice-Pulkov;;;4812;Biskupice;;и.p.;8;;;67557;643419.75;1173122.13;2013-12-05T00:00:00
2751470;590312;Biskupice-Pulkov;;;4812;Biskupice;;и.p.;9;;;67557;643410.19;1173160.38;2013-12-05T00:00:00
2751488;590312;Biskupice-Pulkov;;;4812;Biskupice;;и.p.;10;;;67557;643414.25;1173178.00;2013-12-05T00:00:00
2751496;590312;Biskupice-Pulkov;;;4812;Biskupice;;и.p.;11;;;67557;643421.19;1173193.63;2013-12-05T00:00:00
2751500;590312;Biskupice-Pulkov;;;4812;Biskupice;;и.p.;12;;;67557;643421.03;1173186.66;2013-12-05T00:00:00
2751518;590312;Biskupice-Pulkov;;;4812;Biskupice;;и.p.;13;;;67557;643394.63;1173185.75;2013-12-05T00:00:00
2751526;590312;Biskupice-Pulkov;;;4812;Biskupice;;и.p.;14;;;67557;643373.02;1173180.00;2013-12-05T00:00:00
2751534;590312;Biskupice-Pulkov;;;4812;Biskupice;;и.p.;15;;;67557;643350.13;1173152.13;2013-12-05T00:00:00
2751542;590312;Biskupice-Pulkov;;;4812;Biskupice;;и.p.;16;;;67557;643335.13;1173161.88;2013-12-05T00:00:00
2751551;590312;Biskupice-Pulkov;;;4812;Biskupice;;и.p.;17;;;67557;643327.06;1173161.50;2013-12-05T00:00:00
2751569;590312;Biskupice-Pulkov;;;4812;Biskupice;;и.p.;18;;;67557;643112.50;1173053.75;2013-12-05T00:00:00
